a	net/minecraft/util/EnumChatFormatting
aa	net/minecraft/command/server/CommandEmote
aaa	net/minecraft/item/ItemLeaves
aab	net/minecraft/item/ItemMap
aac	net/minecraft/item/ItemBucketMilk
aad	net/minecraft/item/ItemMinecart
aae	net/minecraft/item/ItemMultiTexture
aaf	net/minecraft/item/ItemNameTag
aag	net/minecraft/item/ItemPickaxe
aah	net/minecraft/item/ItemPiston
aai	net/minecraft/item/ItemPotion
aaj	net/minecraft/item/EnumRarity
aak	net/minecraft/item/ItemRecord
aal	net/minecraft/item/ItemRedstone
aam	net/minecraft/item/ItemSaddle
aan	net/minecraft/item/ItemSeedFood
aao	net/minecraft/item/ItemSeeds
aap	net/minecraft/item/ItemShears
aaq	net/minecraft/item/ItemSpade
aar	net/minecraft/item/ItemSign
aas	net/minecraft/item/ItemSimpleFoiled
aat	net/minecraft/item/ItemSkull
aau	net/minecraft/item/ItemSlab
aav	net/minecraft/item/ItemSnow
aaw	net/minecraft/item/ItemSnowball
aax	net/minecraft/item/ItemMonsterPlacer
aay	net/minecraft/item/ItemSword
aaz	net/minecraft/item/ItemColored
ab	net/minecraft/command/CommandEnchant
aba	net/minecraft/item/EnumAction
abb	net/minecraft/item/ItemLilyPad
abc	net/minecraft/item/ItemWritableBook
abd	net/minecraft/item/ItemEditableBook
abe	net/minecraft/potion/PotionHelper
abh	net/minecraft/item/crafting/RecipesArmorDyes
abi	net/minecraft/item/crafting/RecipesArmor
abj	net/minecraft/item/crafting/RecipesBanners
abj$a	abj$RecipeAddPattern
abj$b	abj$RecipeDuplicatePattern
abk	net/minecraft/item/crafting/RecipeBookCloning
abl	net/minecraft/item/crafting/RecipesDyes
abm	net/minecraft/item/crafting/RecipeFireworks
abn	net/minecraft/item/crafting/RecipesFood
abo	net/minecraft/item/crafting/FurnaceRecipes
abp	net/minecraft/item/crafting/RecipesMapCloning
abq	net/minecraft/item/crafting/RecipesMapExtending
abr	net/minecraft/item/crafting/RecipesIngots
abs	net/minecraft/item/crafting/IRecipe
abt	net/minecraft/item/crafting/CraftingManager
abu	net/minecraft/item/crafting/RecipeRepairItem
abv	net/minecraft/item/crafting/ShapedRecipes
abw	net/minecraft/item/crafting/ShapelessRecipes
abx	net/minecraft/item/crafting/RecipesCrafting
aby	net/minecraft/item/crafting/RecipesTools
abz	net/minecraft/item/crafting/RecipesWeapons
ac	net/minecraft/command/CommandEntityData
acb	net/minecraft/enchantment/EnchantmentArrowDamage
acc	net/minecraft/enchantment/EnchantmentArrowFire
acd	net/minecraft/enchantment/EnchantmentArrowInfinite
ace	net/minecraft/enchantment/EnchantmentArrowKnockback
acf	net/minecraft/enchantment/EnchantmentDamage
acg	net/minecraft/enchantment/EnchantmentDurability
ach	net/minecraft/enchantment/EnchantmentDigging
aci	net/minecraft/enchantment/Enchantment
acj	net/minecraft/enchantment/EnumEnchantmentType
ack	net/minecraft/enchantment/EnchantmentHelper
ack$a	ack$DamageIterator
ack$b	ack$HurtIterator
ack$c	ack$IModifier
ack$d	ack$ModifierLiving
ack$e	ack$ModifierDamage
acl	net/minecraft/enchantment/EnchantmentData
acm	net/minecraft/enchantment/EnchantmentFireAspect
acn	net/minecraft/enchantment/EnchantmentFishingSpeed
aco	net/minecraft/enchantment/EnchantmentKnockback
acp	net/minecraft/enchantment/EnchantmentLootBonus
acq	net/minecraft/enchantment/EnchantmentOxygen
acr	net/minecraft/enchantment/EnchantmentProtection
acs	net/minecraft/enchantment/EnchantmentThorns
act	net/minecraft/enchantment/EnchantmentUntouching
acu	net/minecraft/enchantment/EnchantmentWaterWalker
acv	net/minecraft/enchantment/EnchantmentWaterWorker
acy	net/minecraft/entity/IMerchant
acz	net/minecraft/village/MerchantRecipe
ad	net/minecraft/command/CommandExecuteAt
ada	net/minecraft/village/MerchantRecipeList
adc	net/minecraft/command/server/CommandBlockLogic
add	net/minecraft/tileentity/MobSpawnerBaseLogic
add$a	add$WeightedRandomMinecart
ade	net/minecraft/block/BlockEventData
adf	net/minecraft/util/EnumWorldBlockLayer
adg	net/minecraft/world/ChunkCoordIntPair
adi	net/minecraft/world/Explosion
adj	net/minecraft/world/ColorizerFoliage
adk	net/minecraft/world/GameRules
adk$a	adk$Value
adk$b	adk$ValueType
adl	net/minecraft/world/ColorizerGrass
adm	net/minecraft/world/World
adn	net/minecraft/world/MinecraftException
ado	net/minecraft/world/IWorldAccess
adp	net/minecraft/world/WorldSettings
adp$a	adp$GameType
adq	net/minecraft/world/IBlockAccess
adr	net/minecraft/world/WorldType
ads	net/minecraft/world/EnumSkyBlock
adt	net/minecraft/world/SpawnerAnimals
adu	net/minecraft/world/Teleporter
adu$a	adu$PortalPosition
adv	net/minecraft/world/ChunkCache
adw	net/minecraft/world/NextTickListEntry
adx	net/minecraft/world/biome/BiomeGenBeach
ady	net/minecraft/world/biome/BiomeGenBase
ady$a	ady$Height
ady$b	ady$TempCategory
ady$c	ady$SpawnListEntry
adz	net/minecraft/world/biome/BiomeCache
adz$a	adz$Block
ae	net/minecraft/command/CommandXP
aea	net/minecraft/world/biome/BiomeColorHelper
aea$a	aea$ColorResolver
aeb	net/minecraft/world/biome/BiomeDecorator
aec	net/minecraft/world/biome/WorldChunkManager
aed	net/minecraft/world/biome/BiomeGenDesert
aee	net/minecraft/world/biome/BiomeGenHills
aef	net/minecraft/world/biome/WorldChunkManagerHell
aeg	net/minecraft/world/biome/BiomeGenForest
aeh	net/minecraft/world/biome/BiomeGenHell
aei	net/minecraft/world/biome/BiomeGenSnow
aej	net/minecraft/world/biome/BiomeGenJungle
aek	net/minecraft/world/biome/BiomeGenMesa
ael	net/minecraft/world/biome/BiomeGenMushroomIsland
aem	net/minecraft/world/biome/BiomeGenMutated
aen	net/minecraft/world/biome/BiomeGenOcean
aeo	net/minecraft/world/biome/BiomeGenPlains
