aad$1	F	b	Lcn;	behaviourDefaultDispenseItem
aad$1	M	a	(Lck;)V	playDispenseSound
aad$1	M	b	(Lck;Lzx;)Lzx;	dispenseStack
aae$1	F	a	[Ljava/lang/String;	field_179542_a
aae$1	M	a	(Lzx;)Ljava/lang/String;	apply
abj$RecipeAddPattern	M	a	()I	getRecipeSize
abj$RecipeAddPattern	M	a	(Lxp;)Lzx;	getCraftingResult
abj$RecipeAddPattern	M	a	(Lxp;Ladm;)Z	matches
abj$RecipeAddPattern	M	b	()Lzx;	getRecipeOutput
abj$RecipeAddPattern	M	b	(Lxp;)[Lzx;	getRemainingItems
abj$RecipeAddPattern	M	c	(Lxp;)Laku$a;	func_179533_c
abj$RecipeDuplicatePattern	M	a	()I	getRecipeSize
abj$RecipeDuplicatePattern	M	a	(Lxp;)Lzx;	getCraftingResult
abj$RecipeDuplicatePattern	M	a	(Lxp;Ladm;)Z	matches
abj$RecipeDuplicatePattern	M	b	()Lzx;	getRecipeOutput
abj$RecipeDuplicatePattern	M	b	(Lxp;)[Lzx;	getRemainingItems
abt$1	F	a	Labt;	field_77582_a
abt$1	M	a	(Labs;Labs;)I	compare
ack$DamageIterator	F	a	Lpr;	user
ack$DamageIterator	F	b	Lpk;	target
ack$DamageIterator	M	a	(Laci;I)V	calculateModifier
ack$HurtIterator	F	a	Lpr;	user
ack$HurtIterator	F	b	Lpk;	attacker
ack$HurtIterator	M	a	(Laci;I)V	calculateModifier
ack$IModifier	M	a	(Laci;I)V	calculateModifier
ack$ModifierDamage	F	a	I	damageModifier
ack$ModifierDamage	F	b	Low;	source
ack$ModifierDamage	M	a	(Laci;I)V	calculateModifier
ack$ModifierLiving	F	a	F	livingModifier
ack$ModifierLiving	F	b	Lpw;	entityLiving
ack$ModifierLiving	M	a	(Laci;I)V	calculateModifier
ad$1	F	a	Lpk;	field_174804_a
ad$1	F	b	Lm;	field_174802_b
ad$1	F	c	Lcj;	field_174803_c
ad$1	F	d	D	field_174800_d
ad$1	F	e	D	field_174801_e
ad$1	F	f	D	field_174798_f
ad$1	F	g	Lad;	field_174799_g
ad$1	M	a	(ILjava/lang/String;)Z	canCommandSenderUseCommand
ad$1	M	a	(Leu;)V	addChatMessage
ad$1	M	a	(Ln$a;I)V	setCommandStat
ad$1	M	c	()Lcj;	getPosition
ad$1	M	d	()Laui;	getPositionVector
ad$1	M	e	()Ladm;	getEntityWorld
ad$1	M	e_	()Ljava/lang/String;	getName
ad$1	M	f	()Lpk;	getCommandSenderEntity
ad$1	M	f_	()Leu;	getDisplayName
ad$1	M	u_	()Z	sendCommandFeedback
adc$1	F	a	Ladc;	field_180325_a
adc$1	M	a	()Ljava/lang/String;	call
adc$2	F	a	Ladc;	field_180327_a
adc$2	M	a	()Ljava/lang/String;	call
add$WeightedRandomMinecart	F	b	Ladd;	field_98221_d
add$WeightedRandomMinecart	F	c	Ldn;	nbtData
