cluster	package	n_classes	n_lazy
01	com.moonsworth.lunar	963	680
01	com.moonsworth.lunar.altmanager	7	0
01	com.moonsworth.lunar.annotations	6	4
01	com.moonsworth.lunar.bridge	981	240
01	com.moonsworth.lunar.bridge.fog	3	2
01	com.moonsworth.lunar.bridge.glintcolorizer	1	0
01	com.moonsworth.lunar.bridge.glintcolorizer.mixin	2	1
01	com.moonsworth.lunar.bridge.hitbox	2	1
02	com.moonsworth.lunar.bridge.hitcolor	3	1
02	com.moonsworth.lunar.bridge.horsestats	60	49
02	com.moonsworth.lunar.bridge.horsestats.mixin	4	1
02	com.moonsworth.lunar.bridge.itemcounter	29	15
02	com.moonsworth.lunar.bridge.itemcounter.mixin	4	3
02	com.moonsworth.lunar.bridge.lighting	4	3
02	com.moonsworth.lunar.bridge.minecraft	29	1
02	com.moonsworth.lunar.bridge.mixin	4	1
03	com.moonsworth.lunar.bridge.optifine	9	0
03	com.moonsworth.lunar.bridge.particle	4	0
03	com.moonsworth.lunar.bridge.potion	3	0
03	com.moonsworth.lunar.bridge.resourcepack	2	0
03	com.moonsworth.lunar.bridge.scoreboard	4	0
03	com.moonsworth.lunar.bridge.server	1	0
03	com.moonsworth.lunar.bridge.slayer	9	7
03	com.moonsworth.lunar.bridge.stats	2	0
04	com.moonsworth.lunar.bridge.tileentity	3	0
04	com.moonsworth.lunar.bridge.world	27	0
04	com.moonsworth.lunar.bridge.world.mixin	4	0
04	com.moonsworth.lunar.bridgeimpl.mixin	1	0
04	com.moonsworth.lunar.client	78	6
04	com.moonsworth.lunar.client.account	5	0
04	com.moonsworth.lunar.client.account.skin	3	0
04	com.moonsworth.lunar.client.alert	2	0
05	com.moonsworth.lunar.client.alert.mixin	4	1
05	com.moonsworth.lunar.client.animations	1	0
05	com.moonsworth.lunar.client.animations.mixin	7	5
05	com.moonsworth.lunar.client.audio.music	1	0
05	com.moonsworth.lunar.client.audio.ogg	4	1
05	com.moonsworth.lunar.client.calculator	4	2
05	com.moonsworth.lunar.client.calculator.mixin	4	2
05	com.moonsworth.lunar.client.chat	22	0
06	com.moonsworth.lunar.client.chest	4	8
06	com.moonsworth.lunar.client.click	8	0
06	com.moonsworth.lunar.client.click.chest	9	4
06	com.moonsworth.lunar.client.click.colorsaturation	2	0
06	com.moonsworth.lunar.client.click.coordinates	1	0
06	com.moonsworth.lunar.client.click.fishing	3	2
06	com.moonsworth.lunar.client.click.gui	3	3
06	com.moonsworth.lunar.client.click.highlight	2	0
07	com.moonsworth.lunar.client.click.holograms	35	13
07	com.moonsworth.lunar.client.click.holograms.mixin	54	0
07	com.moonsworth.lunar.client.click.holograms.nameplate	8	1
07	com.moonsworth.lunar.client.click.holograms.nameplate.mixin	16	5
