package	old	new	evidence
com.moonsworth.lunar.client.framework.feature.mod.impl.alert.excavation.mixin	ExcavationType2	FossilPattern	SkyBlock Fossil Excavator minigame: enum of fossil grid shapes (SPINE/HELIX/FOOTPRINT/WEBBED/CLAW/TUSK/CLUBBED/UGLY) holding a boolean[][] pattern with getWidth/getHeight/matches; consumed by Excavation/ExcavationIterator
com.moonsworth.lunar.client.framework.feature.mod.impl.alert.excavation.mixin	ExcavationType3	FossilCellState	per-slot state of the 9x6 Fossil Excavator grid: EMPTY/UNKNOWN/FOSSIL; from(ItemStack) treats null/empty as UNKNOWN, "Dirt" as UNKNOWN, "Fossil" as FOSSIL; used by Excavation2 grid
com.moonsworth.lunar.client.framework.feature.mod.impl.burrow.mixin	BurrowType2	BurrowKind	Diana burrow kind MOB/TREASURE/START with getColor(SkyblockBurrowLocating) picking the configured highlight colour; used by Burrow
com.moonsworth.lunar.client.framework.feature.mod.impl.burrow.mixin	BurrowType3	BurrowWarp	Diana warp destinations (SPAWN/MUSEUM/DARK_AUCTION/CASTLE/CRYPTS/STONKS/WIZARD) with name/warp/enabledByDefault/position + fromName/names/getEnabledByDefault/getDistanceSq
com.moonsworth.lunar.client.framework.feature.mod.impl.guiCore	Data2	BettermapHudComponent	nested Framework7Extension2$Data2: MixinCore9 HUD element that draws the BetterMap dungeon map (BettermapSettings + Nameplate anchor, map renderer call, position/visibility)	com/moonsworth/lunar/client/framework/feature/mod/impl/guiCore/Framework7Extension2.java
com.moonsworth.lunar.client.framework.feature.mod.impl.guiCore	Framework7Extension2	BettermapHud	abstract base of the BetterMap dungeon-map HUD: owns DungeonMapListener/DungeonScoreListener/EquippedItemListener, BettermapSettings and the map renderer; concrete BettermapPrimary/BettermapSecondary
com.moonsworth.lunar.client.framework.feature.nickhider	Nickhider2	NickHiderBridge	Optional<Nickhider2> hook on Client (Client.field78/method106/method111): void method1() invalidates + T method2(T) transforms text; registered by the Apollo NickHider module
com.moonsworth.lunar.client.framework.feature.nickhider	Nickhider3	NicknameTransformerCache	abstract LoadingCache<F,T> (2500 entries / 5 min) mapping an input to a NickhiderImpl and transforming it; instantiated by mod.render.NickHider for String->String
com.moonsworth.lunar.client.framework.feature.pvpinfo.pvp	Data3	PvpInfoStatComponent	nested Framework7Extension2$Data3: MixinCore9Base2 HUD element drawing one 18x18 PvP-info stat line (icon, heading/stat/number colours, border, alignment, auto-align)	com/moonsworth/lunar/client/framework/feature/pvpinfo/pvp/Framework7Extension2.java
com.moonsworth.lunar.client.framework.feature.pvpinfo.pvp	Framework7Extension2	PvpInfoStatHud	abstract base of the PvP-info stat HUDs: options minimizeStats/displayIcon/textShadow/background/border/autoAlign/boldTitle/showTimePeriod/borderThickness/alignment/headingColor/statColor/numberColor/backgroundColor/borderColor
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.highlight	Highlight2	MusicTrack	Rewind built-in music track: name (opus filename), method1() SHA-1 hash, method2() icon name (sparkling/palm-tree/sunglasses/sword/tada); listed in Highlight and downloaded from rewind.lunarclientcdn.com/music
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.highlight	Highlight_2	MediaExporter	GuiIterator task that serialises the rewind project's media/folder tree and provided audio into the "media"/"provided" JSON arrays (id/name/parent/type/thumbnail/layer)
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.mixin	Rewindhandlers2	AudioWaveformRenderer	renders audio waveform PNGs (audio_cache/waveform_*, renders_*) and caches float samples; single-thread "lunar-waveform-thread" executor
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.mixin	RewindhandlersImpl2	CameraRewindHandler	extends Rewindhandlers; overrides method1(float) to drive the replay camera (render view entity, yaw/pitch from Nameplate3, third-person view)
com.moonsworth.lunar.client.framework.feature.screenshot	Screenshot2	ScreenshotCapture	reads the framebuffer (RGBA8) and flips rows, then starts ScreenshotThread; also builds the chat message with open/copy/upload/tweet/delete actions
