package	old	new	evidence
com.moonsworth.lunar.ichor	AutoCloseableIterator2$Data	StageClassLoaderKey	key (IchorStage, parent ClassLoader) of the per-stage URLClassLoader cache in the deleted pipeline class: computeIfAbsent(new Data(stage, loader), -> new URLClassLoader(pipeline, stage, loader))
com.moonsworth.lunar.ichor	AutoCloseableIterator2$Data2	ResourceCacheKey	key (IchorStage, resource path) of the 250-entry MixinShared WeakReference cache: field9.get(new Data2(stage, mixinshared.getResourcePath()))
com.moonsworth.lunar.ichor	AutoCloseableIterator2$Data3	ClassTransformContext	per-class transform context handed to every hook invoker (stage, className, ClassEntry, URLClassLoader): method1(Class) bytes, method2(byte[]) write-back, method3(Class) ClassNode, method5() ClassEntry, with the "not-early stage"/"not-late stage" guards; used by BytecodeTransformInvoker, ResourceTransformInvoker, Ichor2Handler3 and the util hook predicates
com.moonsworth.lunar.ichor	ClassWriter	HierarchyClassWriter	ASM ClassWriter whose getCommonSuperClass walks the ClassHierarchyFactory (MixinLegacy2Iterator) nodes and their isAssignableFrom logic, falling back to java/lang/Object
com.moonsworth.lunar.ichor	Ichor2Handler	StubRemovalHook	FINAL-stage hook removing every method/field carrying @Stub from the class node, i.e. stripping the stub constructors added by the stub-constructor injector
com.moonsworth.lunar.ichor	Ichor2Handler22	ReplayModFieldWideningHook	EXTERNAL_REMAP hook for the "com.replaymod.*" regex filter implementing FieldAccessWideningHook
com.moonsworth.lunar.ichor	Ichor2Handler23	LegacyAccessWideningHook	POST_REMAP hook for "net.minecraft.*|com.mojang.*|net.optifine.*|[^/]+" implementing AccessWideningHook, enabled by Config.method21() ("legacy".equals(type)) so it only fires on legacy versions
com.moonsworth.lunar.ichor	Ichor2Handler24	ReplayModMappingHook	EXTERNAL_REMAP hook for "com.replaymod.*" implementing FieldAccessWideningHook plus the remapper-provider pipeline hook whose default @ProvideRemapper method returns the intermediary->lunar MappingSet
com.moonsworth.lunar.ichor	Ichor2Handler3	ExternalFieldWideningHook	EXTERNAL_REMAP hook implementing FieldAccessWideningHook for every class not under it/unimi/dsi/fastutil/ or com/moonsworth/ (external obfuscated classes)
com.moonsworth.lunar.ichor	Ichor2Handler5	SmuggleHideStageHook	PRE_META_MIXIN stage binding of the smuggle-hide pipeline hook (moves member annotations into the @Smuggle carrier before meta-mixins run)
com.moonsworth.lunar.ichor	Ichor2Handler6	SmuggleRestoreStageHook	POST_META_MIXIN stage binding of the smuggle-restore pipeline hook (puts the smuggled annotations back after meta-mixins run)
