package	old	new	evidence
com.moonsworth.lunar.network	MixinHelper	GameRewindExportResolution	generated model: width/height BigDecimal; toString "class GameRewindExportResolution"; held as encoder/resolution by GameRewindProjectExportEventData
com.moonsworth.lunar.network	MixinHelper$Data	GameRewindExportResolutionTypeAdapterFactory	Gson TypeAdapterFactory whose create() checks MixinHelper.class (GameRewindExportResolution)
com.moonsworth.lunar.network	MixinHelper3$Data	GameRewindExportAudioTypeAdapterFactory	TypeAdapterFactory whose create() checks MixinHelper3 (toString "class GameRewindExportAudio")
com.moonsworth.lunar.network	MixinHelper4$Data	GameFailedParseEventTypeAdapterFactory	TypeAdapterFactory whose create() checks GameFailedParseEvent
com.moonsworth.lunar.network	MixinHelper5$Data	GameRewindRecordingLocationTypeAdapterFactory	TypeAdapterFactory whose create() checks MixinHelper5 (toString "class GameRewindRecordingLocation")
com.moonsworth.lunar.network	MixinHelper7$Data	BaseGameEventGeoLocationTypeAdapterFactory	TypeAdapterFactory whose create() checks BaseGameEventGeoLocation
com.moonsworth.lunar.network	MixinHelper8$Data	GameRewindEditorTimelineTypeAdapterFactory	TypeAdapterFactory whose create() checks GameRewindEditorTimeline
com.moonsworth.lunar.network	MixinHelper9$Data	BaseGameEventInboundLocationTypeAdapterFactory	TypeAdapterFactory whose create() checks BaseGameEventInboundLocation
com.moonsworth.lunar.network	MixinHelper10$Data	BaseGameEventLocationTypeAdapterFactory	TypeAdapterFactory whose create() checks BaseGameEventLocation
com.moonsworth.lunar.network	MixinHelper11$Data	GameEventBatchPostRequestTypeAdapterFactory	TypeAdapterFactory whose create() checks GameEventBatchPostRequest
com.moonsworth.lunar.network	MixinHelper12$Data	BaseGameEventLocationHostedWorldTypeAdapterFactory	TypeAdapterFactory whose create() checks BaseGameEventLocationHostedWorld
com.moonsworth.lunar.network	MixinHelper13$Data	BaseGameEventLocationPublicServerTypeAdapterFactory	TypeAdapterFactory whose create() checks BaseGameEventLocationPublicServer
com.moonsworth.lunar.network	MixinHelper14$Data	BaseGameEventInstalledModsInnerTypeAdapterFactory	TypeAdapterFactory whose create() checks BaseGameEventInstalledModsInner
com.moonsworth.lunar.network	MixinHelper15$Data	GameFailedParseEventDataTypeAdapterFactory	TypeAdapterFactory whose create() checks GameFailedParseEventData
com.moonsworth.lunar.network	MixinHelper22$Data	GameRewindProjectExportEventDataTypeAdapterFactory	TypeAdapterFactory whose create() checks GameRewindProjectExportEventData
com.moonsworth.lunar.network	MixinHelper23$Data	GameRewindLayerAddEventDataTypeAdapterFactory	TypeAdapterFactory whose create() checks GameRewindLayerAddEventData
com.moonsworth.lunar.network	MixinHelper24$Data	GamePromotionInteractionEventDataTypeAdapterFactory	TypeAdapterFactory whose create() checks MixinHelper24 (toString "class GamePromotionInteractionEventData")
com.moonsworth.lunar.network	MixinHelper25$Data	GameBlogPostInteractionEventDataTypeAdapterFactory	TypeAdapterFactory whose create() checks MixinHelper25 (toString "class GameBlogPostInteractionEventData")
com.moonsworth.lunar.network	MixinHelper26$Data	GameRewindRecordingEventDataTypeAdapterFactory	TypeAdapterFactory whose create() checks GameRewindRecordingEventData
com.moonsworth.lunar.network	MixinHelper27$Data	GameRewindEditorSessionEventDataTypeAdapterFactory	TypeAdapterFactory whose create() checks MixinHelper27 (toString "class GameRewindEditorSessionEventData")
com.moonsworth.lunar.network	MixinHelper62$Data	GameBatchEventTypeAdapterFactory	anyOf adapter for GameBatchEvent; delegates to the six NetworkIterator* event adapters + GameFailedParseEvent
com.moonsworth.lunar.network	MixinHelper63$Data	GameRewindLayerTypeAdapterFactory	oneOf adapter for GameRewindLayer; delegates GameRewindLayerAudio/Gameplay/Effect (MixinHelper163/162/164)
com.moonsworth.lunar.network	MixinHelper162$Data	GameRewindLayerGameplayTypeAdapterFactory	TypeAdapterFactory whose create() checks MixinHelper162 (toString "class GameRewindLayerGameplay")
com.moonsworth.lunar.network	MixinHelper163$Data	GameRewindLayerAudioTypeAdapterFactory	TypeAdapterFactory whose create() checks MixinHelper163 (toString "class GameRewindLayerAudio")
com.moonsworth.lunar.network	MixinHelper164$Data	GameRewindLayerEffectTypeAdapterFactory	TypeAdapterFactory whose create() checks MixinHelper164 (toString "class GameRewindLayerEffect")
com.moonsworth.lunar.network	NetworkIterator$Data	GameBlogPostInteractionEventTypeAdapterFactory	TypeAdapterFactory whose create() checks NetworkIterator (toString "class GameBlogPostInteractionEvent")
com.moonsworth.lunar.network	NetworkIterator2$Data	GameRewindLayerAddEventTypeAdapterFactory	TypeAdapterFactory whose create() checks NetworkIterator2 (toString "class GameRewindLayerAddEvent")
com.moonsworth.lunar.network	NetworkIterator3$Data	GameRewindProjectExportEventTypeAdapterFactory	TypeAdapterFactory whose create() checks NetworkIterator3 (toString "class GameRewindProjectExportEvent")
