package	old	new	evidence
com.moonsworth.lunar.genesis	AbstractCollectionBase2$Data	EnumMultiset$Itr	Guava 29.0-jre com/google/common/collect/EnumMultiset$Itr (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionBase32	HashMultiset	Guava 29.0-jre com/google/common/collect/HashMultiset (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionBase33	LinkedHashMultiset	Guava 29.0-jre com/google/common/collect/LinkedHashMultiset (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionBase4$Data	ConcurrentHashMultiset$FieldSettersHolder	Guava 29.0-jre com/google/common/collect/ConcurrentHashMultiset$FieldSettersHolder (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionBase52$4	ElementOrder$1	Guava 29.0-jre com/google/common/graph/ElementOrder$1 (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionBase52$Data2	TreeMultiset$Reference	Guava 29.0-jre com/google/common/collect/TreeMultiset$Reference (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionIterator$Data2	ImmutableCollection$Builder	Guava 29.0-jre com/google/common/collect/ImmutableCollection$Builder (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionIterator2	FilteredMultimapValues	Guava 29.0-jre com/google/common/collect/FilteredMultimapValues (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionIterator3$Data	ImmutableList$ReverseImmutableList	Guava 29.0-jre com/google/common/collect/ImmutableList$ReverseImmutableList (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionIterator3$Data3	ImmutableList$SerializedForm	Guava 29.0-jre com/google/common/collect/ImmutableList$SerializedForm (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionIterator32	SingletonImmutableList	Guava 29.0-jre com/google/common/collect/SingletonImmutableList (coverage matcher score 1.000)
com.moonsworth.lunar.genesis	AbstractCollectionIterator33$Data	ImmutableAsList$SerializedForm	Guava 29.0-jre com/google/common/collect/ImmutableAsList$SerializedForm (coverage matcher score 1.000)
