package	old	new	evidence
com.moonsworth.lunar.genesis	MixinHelper23_3	BasePackageInfo	Guava 29.0-jre com/google/common/base/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin2=base)
com.moonsworth.lunar.genesis	MixinHelper_13	CachePackageInfo	Guava 29.0-jre com/google/common/cache/package-info (empty synthetic interface, only @ParametersAreNonnullByDefault; obf package mixin5=cache)
com.moonsworth.lunar.genesis	MixinHelper12_5	CollectPackageInfo	Guava 29.0-jre com/google/common/collect/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin7=collect)
com.moonsworth.lunar.genesis	MixinHelper6_4	ConcurrentPackageInfo	Guava 29.0-jre com/google/common/util/concurrent/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin8=util/concurrent)
com.moonsworth.lunar.genesis	MixinHelper_6	EscapePackageInfo	Guava 29.0-jre com/google/common/escape/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin15=escape)
com.moonsworth.lunar.genesis	MixinHelper5_4	EventbusPackageInfo	Guava 29.0-jre com/google/common/eventbus/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin11=eventbus)
com.moonsworth.lunar.genesis	MixinHelper10_7	GraphPackageInfo	Guava 29.0-jre com/google/common/graph/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin13=graph)
com.moonsworth.lunar.genesis	MixinHelper7	HashPackageInfo	Guava 29.0-jre com/google/common/hash/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin14=hash)
com.moonsworth.lunar.genesis	MixinHelper_5	HtmlPackageInfo	Guava 29.0-jre com/google/common/html/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin6=html, alongside HtmlEscapers)
com.moonsworth.lunar.genesis	MixinHelper17_3	IoPackageInfo	Guava 29.0-jre com/google/common/io/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin=io)
com.moonsworth.lunar.genesis	MixinHelper3_3	MathPackageInfo	Guava 29.0-jre com/google/common/math/package-info (empty synthetic interface, annotation order @ParametersAreNonnullByDefault then @CheckReturnValue, matching math+primitives only; obf package mixin10=math)
com.moonsworth.lunar.genesis	MixinHelper3_9	NetPackageInfo	Guava 29.0-jre com/google/common/net/package-info (empty synthetic interface, only @ParametersAreNonnullByDefault; obf package mixin12=net)
com.moonsworth.lunar.genesis	MixinHelper2_7	PrimitivesPackageInfo	Guava 29.0-jre com/google/common/primitives/package-info (empty synthetic interface, annotation order @ParametersAreNonnullByDefault then @CheckReturnValue, matching math+primitives only; obf package mixin3=primitives)
com.moonsworth.lunar.genesis	MixinHelper4_6	ReflectPackageInfo	Guava 29.0-jre com/google/common/reflect/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin16=reflect)
com.moonsworth.lunar.genesis	MixinHelper_2	XmlPackageInfo	Guava 29.0-jre com/google/common/xml/package-info (empty synthetic interface, @CheckReturnValue+@ParametersAreNonnullByDefault; obf package mixin9=xml, alongside com.google.common.xml.Xml)
com.moonsworth.lunar.genesis	MixinHelper22_3	ConcurrentUninterruptibles	Guava 29.0-jre com/google/common/util/concurrent/Uninterruptibles (JRE impl: await/join/get/take/put/sleep/tryAcquireUninterruptibly; simple name Uninterruptibles already taken by the empty GWT stub renamed from MixinHelper38)
com.moonsworth.lunar.genesis	MixinHelper28	InternalFutures	Guava 29.0-jre com/google/common/util/concurrent/internal/InternalFutures (public static Throwable tryInternalFastPathGetFailure(InternalFutureFailureAccess))
com.moonsworth.lunar.genesis	MixinHelper29_2	InternalFutureFailureAccess	Guava 29.0-jre com/google/common/util/concurrent/internal/InternalFutureFailureAccess (abstract class, protected abstract Throwable tryInternalFastPathGetFailure())
com.moonsworth.lunar.genesis	MixinHelper25_3	ConcurrentPlatform	Guava 29.0-jre com/google/common/util/concurrent/Platform (static boolean isInstanceOfThrowableClass; simple name Platform already taken by the stub renamed from MixinHelper34)
com.moonsworth.lunar.genesis	MixinHelper31633_2	ConcurrentForwardingBlockingDeque	Guava 29.0-jre com/google/common/util/concurrent/ForwardingBlockingDeque (abstract ForwardingDeque implementing BlockingDeque; simple name already taken by the collect variant renamed from MixinHelper316332)
com.moonsworth.lunar.genesis	MixinHelper6222	MutableGraph	Guava 29.0-jre com/google/common/graph/MutableGraph (interface extends Graph: addNode/putEdge/removeNode/removeEdge)
com.moonsworth.lunar.genesis	MixinHelper63	GraphNetwork	Guava 29.0-jre com/google/common/graph/Network (interface extends PredecessorsFunction/SuccessorsFunction; nodes/edges/asGraph/degree/edgesConnecting...; simple name Network already taken by com.moonsworth.lunar.network.Network)
com.moonsworth.lunar.genesis	MixinHelper8_2	CollectPlatform	Guava 29.0-jre com/google/common/collect/Platform (newHashMapWithExpectedSize/newLinkedHashMapWithExpectedSize/newHashSetWithExpectedSize/checkGwtRpcEnabled; simple name Platform already taken by the stub renamed from MixinHelper34)
com.moonsworth.lunar.genesis	MixinHelper9_7	PrimitivesPlatform	Guava 29.0-jre com/google/common/primitives/Platform (static void checkGwtRpcEnabled; simple name Platform already taken)
com.moonsworth.lunar.genesis	MixinHelperIterator3	UnmodifiableIterator	Guava 29.0-jre com/google/common/collect/UnmodifiableIterator (abstract Iterator with final remove() throwing UnsupportedOperationException)
com.moonsworth.lunar.genesis	MixinHelperIterator34	UnmodifiableListIterator	Guava 29.0-jre com/google/common/collect/UnmodifiableListIterator (abstract ListIterator extending UnmodifiableIterator, final add/set throwing)
