package	old	new	evidence
com.moonsworth.lunar.client.framework.feature.keystrokes	Data4	KeystrokeKeyElement	nested Framework7Extension2$Data4: HUD element (MixinCore9) that draws one keystroke key box - box size/border/animation, key label, CPS, spacebar bar; renders via method6	com/moonsworth/lunar/client/framework/feature/keystrokes/Framework7Extension2.java
com.moonsworth.lunar.client.framework.feature.keystrokes	Framework7Extension2	KeystrokeKey	abstract base for one Keystrokes key: options boxSize/borderThickness/keyFadeDelay/animationType/timerType/animation/timingFunction; concrete subclass per key W/A/S/D/SPACE/LMB/RMB
com.moonsworth.lunar.client.framework.feature.keystrokes	Gui2Extension2	EasingFunction	option timingFunction: cubic-bezier EASE/LINEAR/EASE_IN/EASE_OUT/EASE_IN_OUT with compute(t)
com.moonsworth.lunar.client.framework.feature.keystrokes	Gui2Extension3	KeystrokeAnimationStyle	option animation: FILL/RIPPLE/SAND/SPIRAL/TRIANGULATE/COLLAPSE/... -> factory of KeystrokeRenderer
com.moonsworth.lunar.client.framework.feature.keystrokes	Gui2Extension_2	KeystrokeTimerType	option timerType: HALF/FULL factories for KeystrokeTimer (Keystrokes2Handler2 / Keystrokes2Handler)
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes10	CrossGrowKeystrokeRenderer	enum CROSS_GROW animation: cross grows out from the centre
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes11	SpiralKeystrokeRenderer	enum SPIRAL animation: spiral fill of the key box
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes12	TriangulateKeystrokeRenderer	enum TRIANGULATE animation: rotating triangular wipe
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes13	VerticalGrowKeystrokeRenderer	enum VERTICAL_GROW animation: grows vertically from the middle
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes14	MultiSquareFillKeystrokeRenderer	enum MULTI_SQUARE_FILL animation: four quadrants fill
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes15	DiagonalGrowKeystrokeRenderer	enum DIAGONAL_GROW animation: grows diagonally
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes16	RippleKeystrokeRenderer	enum RIPPLE animation: rounded-rect ripple (Bridge7Iterator.method117)
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes17	FillKeystrokeRenderer	enum FILL animation: simple inset fill
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes18	HeadFillKeystrokeRenderer	enum HEAD_FILL animation: fills with the player's skin head
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes19	DiagonalCollapseKeystrokeRenderer	enum DIAGONAL_COLLAPSE animation: collapses diagonally
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes2	KeystrokeTimer	timer interface: progress()/rawProgress() 0..2, press()/release(), isDone() when progress==2
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes3	KeystrokeRenderer	renderer interface: render(ctx, progress, color, helper) + fill/roundedFill defaults; implemented by every animation
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes4	HorizontalGrowKeystrokeRenderer	enum HORIZONTAL_GROW animation: grows horizontally from the middle
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes5	CollapseKeystrokeRenderer	enum COLLAPSE animation: four edges collapse inward
com.moonsworth.lunar.client.framework.feature.keystrokes	Keystrokes6	SandKeystrokeRenderer	enum SAND animation: falling-sand cellular automaton on an 8x8 BitSet
