package	old	new	evidence	file
com.moonsworth.lunar.client.lighting	Gui2Extension2	TriState	enum DISABLED/FORCE_ON/FORCE_OFF implementing Gui2Extension; force-override option read in framework/feature/mod/holograms/GuiRewindhandlersHandler23_2 (DISABLED + "EZPZ", FORCE_ON)	com/moonsworth/lunar/client/lighting/Gui2Extension2.java
com.moonsworth.lunar.client.lighting	Gui2Extension3	BooleanOption	enum FALSE/DEFAULT/TRUE implementing Gui2Extension; orElse(boolean) resolves DEFAULT to the fallback; id()/toString localized	com/moonsworth/lunar/client/lighting/Gui2Extension3.java
com.moonsworth.lunar.client.lighting	Lighting2	KeyBind	immutable (alt,shift,control,BridgeType_8 key) with Codec optionalFieldOf alt/shift/control/value; toString "KeyBind(...)"; keybind option in Fishing5/ThreadModuleDump63	com/moonsworth/lunar/client/lighting/Lighting2.java
com.moonsworth.lunar.client.lighting	Lighting3	JsonConfigurable	interface load(JsonObject)/method1(JsonObject)/priority()=1000; base of LightingExtension (Option) and implemented by settings container framework/nameplate/Nameplate6	com/moonsworth/lunar/client/lighting/Lighting3.java
com.moonsworth.lunar.client.lighting	LightingExtension2	OptionCombiner	composite LightingExtension delegating to an array of options; throws "Must have at least one option for OptionCombiner!"; wrapped by framework/nameplate/Nameplate4Impl	com/moonsworth/lunar/client/lighting/LightingExtension2.java
com.moonsworth.lunar.client.lighting	LightingExtension22	SettingsTreeBuilder	byte-identical but unused duplicate of LightingExtension23 (extends LightingExtension2_2<ThreadModuleDump43Extension22,Data>, implements Lighting2_2<LightingIterator2>)	com/moonsworth/lunar/client/lighting/LightingExtension22.java
com.moonsworth.lunar.client.lighting	LightingExtension23	RootSettingsBuilder	root settings-tree builder: framework/nameplate/Nameplate6.method7 does new LightingExtension23(ThreadModuleDump43Extension22::new), passes it to every mod's method2(LightingExtension23), then method12() returns Map<Option,LightingHandler2>	com/moonsworth/lunar/client/lighting/LightingExtension23.java
com.moonsworth.lunar.client.lighting	LightingExtension3	ConditionalOption	delegating option wrapper guarded by a BooleanSupplier (set/reset/load no-op while supplier true); built in framework/nameplate/Nameplate	com/moonsworth/lunar/client/lighting/LightingExtension3.java
com.moonsworth.lunar.client.lighting	LightingHandler2	SettingsNode	implements Lighting_4<LightingHandler2>: option + children + prerequisite children + BooleanSupplier + flags; built by LightingExtension2_2.method12 into Map<Option,SettingsNode>	com/moonsworth/lunar/client/lighting/LightingHandler2.java
com.moonsworth.lunar.client.lighting	LightingHandler_2	AbstractOptionBuilder	abstract fluent builder (B/O/T) holding codec, default, language path, badges, feature link, visibility; abstract method2/method3/method31; extended by LightingBase	com/moonsworth/lunar/client/lighting/LightingHandler_2.java
com.moonsworth.lunar.client.lighting	LightingIterator2	OptionBaker	concrete LightingIterator mapping SettingsNode -> LightingHandler feature nodes keyed by feature id; parent of DevOptionBaker; returned by RootSettingsBuilder.method2	com/moonsworth/lunar/client/lighting/LightingIterator2.java
com.moonsworth.lunar.client.lighting	LightingIterator22	DevOptionBaker	dev-only subclass of OptionBaker; throws "DevOptionBaker can only be used in a development environment!"; prunes empty/hidden nodes, warns on depth>20 and errors >30	com/moonsworth/lunar/client/lighting/LightingIterator22.java
com.moonsworth.lunar.client.lighting	LightingType2	OptionCategory	enum GENERAL/PERFORMANCE/CONTROLS/FEATURE/REWIND tagging option groups (GuiExtension.method3, markers/mixin/gui/mixin/Gui9)	com/moonsworth/lunar/client/lighting/LightingType2.java
