package	old	new	evidence
com.moonsworth.lunar.client.framework.feature.markers	Markers4	WoodenBlockIconMapping	SExtension_2 mapping for wooden door/button/pressure_plate: method4()=field1, matches "<wood>_<field1>", damage->wood type (oak/spruce/birch/jungle/acacia/dark_oak); registered in SIterator_2.initMappings as "door"/"button"/"pressure_plate"
com.moonsworth.lunar.client.framework.feature.markers	Markers5	SkullIconMapping	method4()="skulls"; bridge$isItemSkull, damage->{skeleton,wither_skeleton,zombie,player,creeper,dragon}, builds "<type>_skull"/"<type>_head"
com.moonsworth.lunar.client.framework.feature.markers	Markers6	BannerIconMapping	method4()="banners"; matches *_banner/*_wall_banner/*_standing_banner; state=bridge$getBannerColor
com.moonsworth.lunar.client.framework.feature.markers	Markers7	DyeColorIconMapping	extends Markers12Base; method4()=field2 (dye/carpet/bed/wool/stained_glass/stained_glass_pane/concrete/concrete_powder); BiMap colour<->damage 0-15 with invert flag (field3)
com.moonsworth.lunar.client.framework.feature.markers	Markers8	NetherBrickIconMapping	method4()="nether_brick"; red/block/item states for nether_brick(s)/red_nether_brick(s)/netherbrick
com.moonsworth.lunar.client.framework.feature.markers	Markers9	BlockVariantIconMapping	method4()=field1.get(0); list of registry variants (stone/quartz_block/sandstone/red_sandstone) selected by damage; subclass Markers9Impl for stone bricks
com.moonsworth.lunar.client.framework.feature.markers	Markers10	FenceIconMapping	method4()=field1 ("fence"/"fence_gate"); builds "<wood>_fence"/"oak_<field1>" with 1.13+ vs legacy damage handling
com.moonsworth.lunar.client.framework.feature.markers	Markers11	SpawnEggIconMapping	method4()="spawn_eggs"; matches spawn_egg/monster_egg/*_spawn_egg; BiMap entityId<->name (1.8 damage / 1.9+ EntityTag "id")
com.moonsworth.lunar.client.framework.feature.markers	Markers12	LegacyItemAliasMapping	two registry names (field1 old, field2 new): daylight_detector_inverted->daylight_detector, unlit_redstone_torch->redstone_torch, piston_extension->piston, lit_furnace->furnace, lit_redstone_ore/lamp->redstone_ore/lamp
com.moonsworth.lunar.client.framework.feature.markers	Markers_2	RedstoneComponentIconMapping	method4()="powered"; matches *_comparator/*_repeater; state repeater/comparator
com.moonsworth.lunar.client.framework.feature.markers	Markers_3	DynamicMapping	root bidirectional mapping interface (K=key,S=source,T=target): method1(S)/method2(K) match, method3(S)->Optional<K>, method4(K)->Optional<T>; implemented by SIterator and SExtension_2; "DynamicMapping" is the codebase's own term in SIterator log strings
com.moonsworth.lunar.client.framework.feature.markers	SExtension2	BoatIconMapping	SExtension_2<BridgeExtension,SIterator2.Data> for boats: bridge$isBoat/bridge$getBoatType; builds "<type>_boat"/"minecraft:boat"/"Boat" per MC_VERSION; registered in SIterator2.initMappings
com.moonsworth.lunar.client.framework.feature.markers	SExtension_2	IconMapping	interface extending Markers_3<Markers3_2,S,T>: method4()=base registry name, method6(S)->Markers2_3 state, method7(Markers2_3)->Optional<T>; all item/entity marker mappings implement it
com.moonsworth.lunar.client.framework.feature.markers	SIterator2	EntityIconRegistry	extends SIterator<SIterator2.Data,BridgeExtension>: entity-string<->name table (initMappings ~80 "EntityName"->"minecraft:..."), nested Data = entity string + Component; static method5() singleton
com.moonsworth.lunar.client.framework.feature.markers	SIterator_2	ItemIconRegistry	extends SIterator<BridgeExtension_4,BridgeExtension_4>: item registry-name<->name table (initMappings legacy->modern names), registers the Markers4-12/SExtension mappings; static method6() singleton
com.moonsworth.lunar.client.killsounds	Killsounds2	ConfigEntryMigration	static helper: inserts a per-mod config entry keyed by killsounds.method1(feature) with enabled/x/y/position and filtered options; also migrates nested childProperties/keyframes values; used by Killsounds7 and Killsounds15Iterator5
com.moonsworth.lunar.client.killsounds	Killsounds3	PotionEffectsMigration	migrates PotionEffects config: minimalMode->potionEffectsMode="minimal", durationColor->infoColor
