package	old	new	evidence	file
com.moonsworth.lunar.client.framework.feature.mod.highlight	Gui2Extension2	SkyblockVisibility	option enum ALWAYS("always")/SKYBLOCK_ONLY("skyBlockOnly")/NEVER("never"), id() humanises the name; implements lighting.Gui2Extension; sibling Gui2Extension (ALWAYS/RECENT/NEVER) is the skyblockContainerOverlayPreview mode	com/moonsworth/lunar/client/framework/feature/mod/highlight/Gui2Extension2.java
com.moonsworth.lunar.client.framework.feature.mod.highlight	Gui2Extension3	SkyblockIsland	SkyBlock island enum HUB/GOLD_MINE/DEEP_CAVERNS/END/CRIMSON_ISLES/DUNGEON/DWARVEN_MINES/CRYSTAL_HOLLOWS/.../KUUDRA/MINESHAFT/GALATEA/TORRHUS_CANYON; getByMapValue/getByMode, isMiningIsland/containsPowderSources/containsWhisperSources/containsGemstones; returned by IslandUtils.method2()	com/moonsworth/lunar/client/framework/feature/mod/highlight/Gui2Extension3.java
com.moonsworth.lunar.client.framework.feature.mod.highlight	HighlightType2	KuudraTier	Kuudra tier enum NONE/T1("Basic")/T2("Hot")/T3("Burning")/T4("Fiery")/T5("Infernal") with tierName; parsed from "⏣ Kuudra's Hollow (T1..T5)" scoreboard and used by KuudraEnterEvent / KuudraEvent.Data	com/moonsworth/lunar/client/framework/feature/mod/highlight/HighlightType2.java
com.moonsworth.lunar.client.framework.feature.mod.highlight	HighlightType3	CropType	SkyBlock crop enum WHEAT/CARROT/POTATO/PUMPKIN/MELON/SUGAR_CANE/COCOA_BEANS/CACTUS/NETHER_WART/MUSHROOM/WILD_ROSE/SUNFLOWER/MOONFLOWER with apiName/localName and an isCrop BiPredicate over Bridge3_23 + SkyblockTimeListener (DAY/NIGHT); Module.field13 is HashMap<CropType,int[]>	com/moonsworth/lunar/client/framework/feature/mod/highlight/HighlightType3.java
com.moonsworth.lunar.client.framework.feature.mod.highlight	HighlightType4	SkyblockSeason	SkyBlock calendar season EARLY_SPRING/SPRING/LATE_SPRING/.../LATE_WINTER; SkyblockCalendar.method6 returns the current one and method7 compares seasons	com/moonsworth/lunar/client/framework/feature/mod/highlight/HighlightType4.java
com.moonsworth.lunar.client.framework.feature.mod.highlight	HighlightType5	SkyblockWeather	SkyBlock weather enum DAY("☀")/NIGHT("☽")/RAIN("☔")/THUNDER("⚡") with getFromIcon; SkyblockTimeListener.method6 returns it	com/moonsworth/lunar/client/framework/feature/mod/highlight/HighlightType5.java
com.moonsworth.lunar.client.framework.feature.mod.highlight	HighlightType6	SkyblockCave	SkyBlock sub-location enum GLOWING_MUSHROOM_CAVE("Glowing Mushroom Cave") with fromScoreboard; drives SkyblockGlowingMushroomHighlight via SkyblockLocationListener.method5	com/moonsworth/lunar/client/framework/feature/mod/highlight/HighlightType6.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	Data3	LocatedBurrow	nested Holograms2$Data3 (NESTED row): holds a Vector3ic burrow position located from a particle trail; added to Holograms2.field7 and consumed by GuiRewindhandlersHandler23.method8	com/moonsworth/lunar/client/framework/feature/mod/holograms/mixin/Holograms2.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	GuiRewindhandlersHandler2	KuudraTierListener	event listener (extends guiRewindhandlers.GuiRewindhandlersHandler2) that parses "⏣ Kuudra's Hollow (T1..T5)" from the scoreboard and fires KuudraEvent.KuudraEnterEvent	com/moonsworth/lunar/client/framework/feature/mod/holograms/mixin/GuiRewindhandlersHandler2.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	GuiRewindhandlersHandler22	KuudraBossHealth	tracks the Kuudra boss entity (size 30, health<=100000) and exposes getHealth()/method5() max health (240M in T5) for SkyblockKuudraHealth	com/moonsworth/lunar/client/framework/feature/mod/holograms/mixin/GuiRewindhandlersHandler22.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	GuiRewindhandlersHandler23	BurrowLocatingListener	main Griffin-burrow listener: feeds particle/sound/item-use/chat events into BurrowTrailLocator + BurrowTracker and exposes them to SkyblockBurrowLocating ("You dug out a Griffin Burrow!")	com/moonsworth/lunar/client/framework/feature/mod/holograms/mixin/GuiRewindhandlersHandler23.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	GuiRewindhandlersHandler24	BurrowGroundScanner	HUB chunk scanner (y 70..100) that caches valid burrow ground blocks (target block with air above) and provides the -283..200/-230..200 bounds check method7 used by the trail locator	com/moonsworth/lunar/client/framework/feature/mod/holograms/mixin/GuiRewindhandlersHandler24.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	Holograms2	BurrowTrailLocator	locates a burrow from particle trails: tracks DRIPPING_LAVA/DUST points, fits bezier paths (Holograms/Files6_2), validates candidates via BurrowGroundScanner and stores LocatedBurrow positions	com/moonsworth/lunar/client/framework/feature/mod/holograms/mixin/Holograms2.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.mixin	Holograms3	BurrowTracker	tracks confirmed Burrow objects (Map<Vector3i,Burrow>) found by particle type, expires them by EventTick time and by player distance, and handles dug/finished burrow chat messages	com/moonsworth/lunar/client/framework/feature/mod/holograms/mixin/Holograms3.java
com.moonsworth.lunar.client.framework.feature.waila	WailaHandler2	CosmeticWailaComponent	WAILA component that renders a cosmetic preview: switches on the cosmetic type (CLOAK/SUITS/BACKPACK/SHOES/WINGS/BELTS/NECKWEAR/BODYWEAR/MASK/GLASSES/BANDANNA/HAT/PET/COMPANION) to offset/scale the model	com/moonsworth/lunar/client/framework/feature/waila/WailaHandler2.java
com.moonsworth.lunar.client.framework.feature.waila	WailaHandler3	StringWailaComponent	WAILA component that renders a plain String through LightingExtension4222 (the Component-based sibling is WailaHandler); used for the "WAILA" title and block-info lines	com/moonsworth/lunar/client/framework/feature/waila/WailaHandler3.java
com.moonsworth.lunar.client.framework.feature.waila	WailaHandler4	EntityWailaComponent	WAILA component that renders a full entity model preview (BridgeExtension2_5) with rotation restore, via EntityRenderDispatcher	com/moonsworth/lunar/client/framework/feature/waila/WailaHandler4.java
com.moonsworth.lunar.client.framework.feature.waila	WailaHandler5	SpacerWailaComponent	zero-render WAILA component holding a fixed width/height (used for padding/gaps in the layout)	com/moonsworth/lunar/client/framework/feature/waila/WailaHandler5.java
com.moonsworth.lunar.client.framework.feature.waila	WailaHandler6	ItemWailaComponent	WAILA component that renders a 16x16 item icon (BridgeExtension_4) with glint/enchant handling	com/moonsworth/lunar/client/framework/feature/waila/WailaHandler6.java
com.moonsworth.lunar.client.framework.feature.waila	WailaHandler7	TextureWailaComponent	WAILA component that renders a square resource-location texture (Horsestats14) with configurable spacing via Bridge7Iterator.method31	com/moonsworth/lunar/client/framework/feature/waila/WailaHandler7.java
com.moonsworth.lunar.client.framework.feature.waila	WailaIterator2	VerticalWailaGroup	WAILA component that stacks child components vertically (sums heights, max width); sibling WailaIterator lays them out horizontally	com/moonsworth/lunar/client/framework/feature/waila/WailaIterator2.java
com.moonsworth.lunar.client.holograms	Holograms2	IBoneRenderer	interface with the single method applyBoneTransform(Matrix4f,String); matches the real Lunar client/morph/IBoneRenderer (sacred-mappings) whose only method is applyBoneTransform(Matrix4f,String)	com/moonsworth/lunar/client/holograms/Holograms2.java
com.moonsworth.lunar.client.holograms	Holograms3	MorphTimeline	plays the Morph list of one MorphEntry over time (time counter, cycle length field1) and keeps a Map<Morph,Holograms8> of live morph renderers	com/moonsworth/lunar/client/holograms/Holograms3.java
com.moonsworth.lunar.client.holograms	Holograms4	MorphTracker	per-player tracker (Map<Gui2Handler,MorphTimeline>) that rebuilds timelines from the cosmetic manager and renders them via the morph renderer	com/moonsworth/lunar/client/holograms/Holograms4.java
com.moonsworth.lunar.client.holograms	Holograms5	EmoteDefinition	emote definition (id, display name, Fov2_4 grant) built by method1(id,name)/method2(id) and looked up by emote id in Holograms14.field3 / Screenshot	com/moonsworth/lunar/client/holograms/Holograms5.java
com.moonsworth.lunar.client.holograms	Holograms6	EmoteAnimator	drives an EmoteController's emote: switches morph entry + particle effect (Glintcolorizer3_2), manages looping/duration and the live morph renderers	com/moonsworth/lunar/client/holograms/Holograms6.java
com.moonsworth.lunar.client.holograms	Holograms7	MorphTransform	holds a Morph's translate/rotation/scale arrays and applies them to a Matrix4f (identity singleton field2)	com/moonsworth/lunar/client/holograms/Holograms7.java
com.moonsworth.lunar.client.holograms	Holograms8	MorphRenderer	interface of one live morph renderer (getBone, HologramsType kind, render/reset); factory method12 builds a SnowstormMorph or BlockMorph from a Morph's NBT ("snowstorm"/"block")	com/moonsworth/lunar/client/holograms/Holograms8.java
com.moonsworth.lunar.client.horsestats	Data2	ModConverter	nested Horsestats3$Data2 (NESTED row): per-profile converter that maps each Badlion mod's options into the Lunar mods.json/general.json objects (method1..method7, field5 tracks handled mod ids)	com/moonsworth/lunar/client/horsestats/Horsestats3.java
com.moonsworth.lunar.client.horsestats	Data3	CanvasCrosshair	nested Horsestats3$Data3 (NESTED row): a Badlion canvas crosshair image = size + int[] ARGB pixels; read from the profile zip and converted to a Crosshair2 grid	com/moonsworth/lunar/client/horsestats/Horsestats3.java
com.moonsworth.lunar.client.horsestats	Horsestats2	ExternalProfileLocator	finds external client profiles under BLClient-Mod-Profiles/*.zip and feather/configuration/profiles/*.json in the .minecraft dirs (method1..method12)	com/moonsworth/lunar/client/horsestats/Horsestats2.java
com.moonsworth.lunar.client.horsestats	Horsestats3	BadlionProfileConverter	converts a parsed Badlion config (BadlionProfileConfig) into the four Lunar JSON files mods.json/general.json/controls.json/performance.json (method2 + ~50 per-mod converters)	com/moonsworth/lunar/client/horsestats/Horsestats3.java
com.moonsworth.lunar.client.horsestats	Horsestats4	BadlionProfileImporter	reads a Badlion profile zip (data.json/info.json + crosshairs) and imports it as a Lunar profile (method1/method4/method5), logging mapped/skipped mods	com/moonsworth/lunar/client/horsestats/Horsestats4.java
com.moonsworth.lunar.client.horsestats	Horsestats5	ConvertedProfile	result holder of a converted Badlion profile: mods/general/controls/performance JsonObjects plus the mapped and skipped mod-id lists	com/moonsworth/lunar/client/horsestats/Horsestats5.java
com.moonsworth.lunar.client.horsestats	Horsestats_2	BadlionProfileConfig	parsed Badlion profile JsonObject: Map<String,Data> of mods, Map<String,JsonObject> of boxes, graphic/text mode settings and the default mod mode (TEXT/GRAPHICS)	com/moonsworth/lunar/client/horsestats/Horsestats_2.java
com.moonsworth.lunar.client.lightoverlay	Data2	TraitConflictException	nested LightoverlayException$Data2 (NESTED row): thrown when two trait types are both present but declared CONFLICTS ("Conflicting Trait Types found: x and y")	com/moonsworth/lunar/client/lightoverlay/LightoverlayException.java
com.moonsworth.lunar.client.lightoverlay	Lightoverlay2	TraitReader	read-only trait access interface: get(TraitType)/has/optional/require/getOrDefault; implemented by the trait container	com/moonsworth/lunar/client/lightoverlay/Lightoverlay2.java
com.moonsworth.lunar.client.lightoverlay	Lightoverlay4	TraitSnapshot	immutable snapshot of trait values (Reference2ObjectMap<TraitType,Optional<?>>) with a builder Data; applied onto a container or used as overrides	com/moonsworth/lunar/client/lightoverlay/Lightoverlay4.java
com.moonsworth.lunar.client.lightoverlay	Lightoverlay5	TraitListener	change listener invoked with Type TRAIT_SET/TRAIT_REMOVED/TRAIT_REMOVED_CONDITIONALLY and the old/new value	com/moonsworth/lunar/client/lightoverlay/Lightoverlay5.java
com.moonsworth.lunar.client.lightoverlay	Lightoverlay7	TraitDebugFormatter	static debug helpers that render a trait container, a trait type, its related conditions and a diff of two containers as strings	com/moonsworth/lunar/client/lightoverlay/Lightoverlay7.java
com.moonsworth.lunar.client.lightoverlay	Lightoverlay8	Trait	one trait instance = TraitType id + value (type()/value(), toString "id>value"); iterated by a TraitContainer	com/moonsworth/lunar/client/lightoverlay/Lightoverlay8.java
com.moonsworth.lunar.client.lightoverlay	Lightoverlay9	TraitType	typed trait key: an int id (getId) parameterised by the trait value type; created by the TraitRegistry/builder	com/moonsworth/lunar/client/lightoverlay/Lightoverlay9.java
