package	old	new	evidence
com.moonsworth.lunar.client.mod.misc	Data2	ArrowFrame	nested SkyblockArrowAlign$Data2: one tracked item-frame arrow panel (EntityItemFrameBridge + expected Direction2D + match counter); method3 computes the rotation delta between expected and actual	src/main/java/com/moonsworth/lunar/client/mod/misc/SkyblockArrowAlign.java
com.moonsworth.lunar.client.mod.misc	Data2	ProfitEntry	nested SkyblockChestProfit$Data2: per-chest-type cost/value/alreadyOpened + item->value map; method1 = value - cost	src/main/java/com/moonsworth/lunar/client/mod/misc/SkyblockChestProfit.java
com.moonsworth.lunar.client.mod.misc	Data2	ExchangeRateHud	nested SkyblockTrophyFishExchangeRate$Data2: HUD component (MixinCore8<List<HudLine>>) rendering magmafish/lotus inventory+sack counts	src/main/java/com/moonsworth/lunar/client/mod/misc/SkyblockTrophyFishExchangeRate.java
com.moonsworth.lunar.client.mod.misc	RewindHandlers2	RewindAudioManager	manages the set of playing AudioStreams for replay playback: add/contains/cleanup/reload/setTime
com.moonsworth.lunar.client.mod.misc	RewindHandlers3	RewindHandler	abstract base for replay sub-handlers; holds ValueHolder<Nameplate4> playback state and registers with Framework10Extension
com.moonsworth.lunar.client.mod.misc	RewindHandlers4	RewindRenderQueue	replay render queue + video encoder: render_queue/*.json, FFMPEG check, frameCount, opens rendered video
com.moonsworth.lunar.client.mod.misc	RewindHandlers5	RewindRecorder	replay recorder: recorder list (KeyframeRecorder/PacketRecorder/...), capture list, tick counter, RECORDING/PAUSED/STOPPED
com.moonsworth.lunar.client.mod.misc	Type2	BeaconPitch	nested SkyblockForagingBeaconSolver$Type2: LOW/NORMAL/HIGH note pitch (0.095/0.79/1.49) parsed from "Current pitch"	src/main/java/com/moonsworth/lunar/client/mod/misc/SkyblockForagingBeaconSolver.java
com.moonsworth.lunar.client.mod.misc	Type3	BeaconSpeed	nested SkyblockForagingBeaconSolver$Type3: ONE..FIVE beat speeds (55/45/35/25/15 ticks) parsed from "Current speed"	src/main/java/com/moonsworth/lunar/client/mod/misc/SkyblockForagingBeaconSolver.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	Holograms2	DungeonMapItem	held "Magical Map" item snapshot: Itemcounter2_3 map data (colors/decorations) + int map id
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	Holograms3	RoomInstance	placed room instance on the dungeon map: RoomTemplate + hash + origin corner + RoomRotation, with coordinate transforms via RoomTemplateDetector
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	HologramsType2	RoomState	dungeon room state enum FAILED/ADJACENT/OPENED/CLEARED/COMPLETED with asColor()
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	HologramsType22	EarlyInDoorAction	DungeonUpdateAction for proto EarlyInDoor: MapRoomType + two door positions; method3 parses from DungeonUpdate
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	HologramsType23	RoomSecretsAction	DungeonUpdateAction for proto RoomSecrets: position + current/max secret counts
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	HologramsType24	EarlyInRoomAction	DungeonUpdateAction for proto EarlyInRoom: component positions + MapRoomType, marks room ADJACENT
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	HologramsType25	RoomDetectionAction	DungeonUpdateAction for proto RoomDetection: position + hash + origin + rotation, installs a RoomInstance
com.moonsworth.lunar.client.framework.feature.mod.fishing.holograms.holograms	HologramsType26	EarlyInUnknownAction	DungeonUpdateAction for proto EarlyInUnknown: single position, marks room UNKNOWN/ADJACENT
