package	old	new	evidence	file
com.moonsworth.lunar.client.mod.hud.coordinates	CoordinatesChildHudMod	CoordinatesHudEntry	one labelled coordinate line (X/Y/Z/Biome/Direction) created per tag by CoordinatesHud; id COORDINATES_<TAG>_CHILD	src/main/java/com/moonsworth/lunar/client/mod/hud/coordinates/CoordinatesChildHudMod.java
com.moonsworth.lunar.client.mod.hud.f3display	F3ModuleChildMod	F3DisplayModule	one movable F3 debug-screen module; id F3_MODULE_<millis>	src/main/java/com/moonsworth/lunar/client/mod/hud/f3display/F3ModuleChildMod.java
com.moonsworth.lunar.client.mod.hud.itemcounter	ItemCounterElementChildMod	ItemCounterElement	one tracked-item element of ItemCounter; id ITEM_COUNTER_<ITEM>_CHILD	src/main/java/com/moonsworth/lunar/client/mod/hud/itemcounter/ItemCounterElementChildMod.java
com.moonsworth.lunar.client.mod.hud.stopwatch	StopwatchChildMod	StopwatchCounter	count-up stopwatch child watch (start/elapsed/reset-per-start)	src/main/java/com/moonsworth/lunar/client/mod/hud/stopwatch/StopwatchChildMod.java
com.moonsworth.lunar.client.mod.hud.stopwatch	TimerChildMod	StopwatchTimer	count-down timer child (end time, loop, notifications)	src/main/java/com/moonsworth/lunar/client/mod/hud/stopwatch/TimerChildMod.java
com.moonsworth.lunar.client.mod.render.crosshair	CrosshairChildMod	CrosshairStyle	shared base of the normal/friendly/enemy crosshair styles, id comes from CrosshairType	src/main/java/com/moonsworth/lunar/client/mod/render/crosshair/CrosshairChildMod.java
com.moonsworth.lunar.client.mod.render.heightlimit	HeightLimitChildMod	HeightLimitProfile	one build-limit overlay profile per HeightLimitVariant (bedwars/bridge/vanilla/server)	src/main/java/com/moonsworth/lunar/client/mod/render/heightlimit/HeightLimitChildMod.java
com.moonsworth.lunar.client.mod.render.particlechanger	ParticleChildMod	ParticleStyle	shared base of the per-particle-type changer styles, id PARTICLE_CHANGER_<ALIAS>_CHILD	src/main/java/com/moonsworth/lunar/client/mod/render/particlechanger/ParticleChildMod.java
com.moonsworth.lunar.client.mod.render.particlechanger	ParticleChangerBloodChild	ParticleChangerBlood	blood particle child of ParticleChanger, id PARTICLE_CHANGER_BLOOD_CHILD	src/main/java/com/moonsworth/lunar/client/mod/render/particlechanger/ParticleChangerBloodChild.java
com.moonsworth.lunar.client.mod.render.saturation	SaturationHudChild	SaturationHud	HUD child of Saturation, id SATURATION_HUD_CHILD	src/main/java/com/moonsworth/lunar/client/mod/render/saturation/SaturationHudChild.java
com.moonsworth.lunar.client.mod.render.armorstatus	ArmorstatusBarsChild	ArmorstatusBars	armor-bars child of Armorstatus, id ARMORSTATUS_BARS_CHILD	src/main/java/com/moonsworth/lunar/client/mod/render/armorstatus/ArmorstatusBarsChild.java
com.moonsworth.lunar.client.mod.render.armorstatus	ArmorstatusProtectionChild	ArmorstatusProtection	protection-percentage child of Armorstatus, id ARMORSTATUS_PROTECTION_CHILD	src/main/java/com/moonsworth/lunar/client/mod/render/armorstatus/ArmorstatusProtectionChild.java
com.moonsworth.lunar.client.mod.render.overlay	TotemAnimationOverlayChild	OverlayTotemAnimation	totem pop animation child of OverlayMod, id TOTEM_ANIMATION_OVERLAY_CHILD	src/main/java/com/moonsworth/lunar/client/mod/render/overlay/TotemAnimationOverlayChild.java
com.moonsworth.lunar.client.mod.render.markers	MarkerData	ApolloMarkerData	immutable Apollo marker payload (duration/colour/scale/owner display) consumed by MarkerApolloHandler	src/main/java/com/moonsworth/lunar/client/mod/render/markers/MarkerData.java
com.moonsworth.lunar.client.mod.render	ServerBorderManager	ServerBorderRegistry	per-server world-border store (add/remove/update on ServerChangeEvent), registered by BorderApolloHandler	src/main/java/com/moonsworth/lunar/client/mod/render/ServerBorderManager.java
com.moonsworth.lunar.client.mod.misc	StaffModsManager	StaffModsSettings	JsonFileConfig for staff_mods.json registering StaffXray, sibling of ModsSettings/ServerFeaturesSettings	src/main/java/com/moonsworth/lunar/client/mod/misc/StaffModsManager.java
com.moonsworth.lunar.client.mod.misc.hypixel	HypixelMod	HypixelMods	bundle mod (lang name "Hypixel Mods") with HypixelTps child and autoGG/levelHead options	src/main/java/com/moonsworth/lunar/client/mod/misc/hypixel/HypixelMod.java
com.moonsworth.lunar.client.mod.player.inventorymod	InventoryMod	InventoryMods	bundle mod of the inventory sub-features (lang name "Inventory")	src/main/java/com/moonsworth/lunar/client/mod/player/inventorymod/InventoryMod.java
com.moonsworth.lunar.client.mod.combat.killsounds	KillSoundChildMod	KillSoundEntry	one per-kill-type sound entry, ids KILL_SOUND_<TYPE>_CHILD	src/main/java/com/moonsworth/lunar/client/mod/combat/killsounds/KillSoundChildMod.java
com.moonsworth.lunar.client.mod.misc.replaymod	Replaymod	ReplayMod	ReplayMod parent mod (lang name "ReplayMod")	src/main/java/com/moonsworth/lunar/client/mod/misc/replaymod/Replaymod.java
com.moonsworth.lunar.client.mod.misc.replaymod	ReplaymodRecordingIndicatorChild	ReplayModRecordingIndicator	recording-indicator HUD child, id REPLAYMOD_RECORDING_INDICATOR_CHILD	src/main/java/com/moonsworth/lunar/client/mod/misc/replaymod/ReplaymodRecordingIndicatorChild.java
com.moonsworth.lunar.client.mod.combat.pvpinfo	PvpInfoHealthChild	PvpInfoHealthStats	health stats rows child of PvpInfo (lang "Health Stats")	src/main/java/com/moonsworth/lunar/client/mod/combat/pvpinfo/PvpInfoHealthChild.java
com.moonsworth.lunar.client.mod.combat.pvpinfo	PvpInfoMeleeChild	PvpInfoMeleeStats	melee stats rows child of PvpInfo (lang "Melee Stats")	src/main/java/com/moonsworth/lunar/client/mod/combat/pvpinfo/PvpInfoMeleeChild.java
com.moonsworth.lunar.client.mod.combat.pvpinfo	PvpInfoProjectileChild	PvpInfoProjectileStats	projectile stats rows child of PvpInfo (lang "Projectile Stats")	src/main/java/com/moonsworth/lunar/client/mod/combat/pvpinfo/PvpInfoProjectileChild.java
com.moonsworth.lunar.client.mod.combat.totemcounter	TotemCounterHudChild	TotemCounterHud	HUD child of TotemCounter, id TOTEM_COUNTER_HUD_CHILD	src/main/java/com/moonsworth/lunar/client/mod/combat/totemcounter/TotemCounterHudChild.java
com.moonsworth.lunar.client.mod.movement.togglesneak	ToggleSneakHudChild	ToggleSneakHud	sprint/sneak indicator HUD child, id TOGGLE_SNEAK_HUD_CHILD	src/main/java/com/moonsworth/lunar/client/mod/movement/togglesneak/ToggleSneakHudChild.java
com.moonsworth.lunar.client.mod.misc.hypixelbedwars	HypixelBedwarsStatsChild	HypixelBedwarsStats	stats child of HypixelBedwars, id HYPIXEL_BEDWARS_STATS_CHILD	src/main/java/com/moonsworth/lunar/client/mod/misc/hypixelbedwars/HypixelBedwarsStatsChild.java
com.moonsworth.lunar.client.mod.misc.hypixelbedwars	HypixelBedwarsResourceCounterChild	HypixelBedwarsResourceCounter	resource counter child, id HYPIXEL_BEDWARS_RESOURCE_COUNTER_CHILD	src/main/java/com/moonsworth/lunar/client/mod/misc/hypixelbedwars/HypixelBedwarsResourceCounterChild.java
com.moonsworth.lunar.client.mod.misc.hypixelbedwars	HypixelBedwarsUpgradeDisplayChild	HypixelBedwarsUpgradeDisplay	upgrade/trap display child, id HYPIXEL_BEDWARS_UPGRADE_DISPLAY_CHILD	src/main/java/com/moonsworth/lunar/client/mod/misc/hypixelbedwars/HypixelBedwarsUpgradeDisplayChild.java
com.moonsworth.lunar.client.mod.misc.hypixelbedwars	HypixelBedwarsTeamDisplayChild	HypixelBedwarsTeamDisplay	team display child, id HYPIXEL_BEDWARS_TEAM_DISPLAY_CHILD	src/main/java/com/moonsworth/lunar/client/mod/misc/hypixelbedwars/HypixelBedwarsTeamDisplayChild.java
com.moonsworth.lunar.client.mod.misc.hypixelbedwars	HypixelBedwarsTimersChildHud	HypixelBedwarsTimers	timers HUD child, id HYPIXEL_BEDWARS_TIMERS_CHILD_HUD	src/main/java/com/moonsworth/lunar/client/mod/misc/hypixelbedwars/HypixelBedwarsTimersChildHud.java
com.moonsworth.lunar.client.mod.misc.rewind	RewindRecordingIndicatorChild	RewindRecordingIndicator	recording HUD child of Rewind, id REWIND_RECORDING_INDICATOR_CHILD	src/main/java/com/moonsworth/lunar/client/mod/misc/rewind/RewindRecordingIndicatorChild.java
