package	old	new	evidence
com.moonsworth.lunar.client.nameplate	FogHandler2	PingServerCache	extends fog.FogHandler2<String,UUID>; per-server UUID cache, cleared on HighlightImpl10 (world/server change) and on ApolloPacketEvent; unused in this build
com.moonsworth.lunar.client.nameplate	Nameplate2	PingServerData	toString() is literally "PingServerData(completed=,timedOut=,endTime=,serverDataBridge=)"; ping result for one server address in the Apollo Transfer/Ping module
com.moonsworth.lunar.client.nameplate	Nameplate_2	TransferSrvResolver	resolves DNS TXT records named "mc_transfer_accept_from" via JNDI DirContext and wildcard-matches hosts (method1) so a transfer only targets an allowed server
com.moonsworth.lunar.client.nameplate	Type2	BuildDataKey	NESTED Nameplate.Type2: enum of lunarBuildData.txt keys BRANCH/GIT_HASH/FULL_GIT_HASH/PRODUCTION/PROGUARD_UUID/LUNAR_VERSION/UI_BRANCH/UI_GIT_HASH	com/moonsworth/lunar/client/nameplate/Nameplate.java
com.moonsworth.lunar.client.util.rewindhandlers	RewindhandlersExtension2	SolidColor	RewindhandlersExtension impl holding one constant ARGB int (method1/getColor return field1); built by RewindhandlersExtension.method23(int)
com.moonsworth.lunar.client.util.rewindhandlers	RewindhandlersExtension3	AnimatedColor	interface with method1(float)->ARGB plus default red/green/blue/alpha/hsb accessors; factory method11(int,Gui2Extension,int) and default chroma method12() (WAVE, red, 50) used for "chroma text"
com.moonsworth.lunar.client.util.rewindhandlers	RewindhandlersExtension32	AnimatedColorImpl	AnimatedColor impl: wraps a Gui2Extension (WAVE/SHIFT) animation, colour and speed; method1 mirrors the coordinate and applies the animation function
com.moonsworth.lunar.client.util.rewindhandlers	RewindhandlersExtension4	MutableColor	interface extending Rewindhandlers + RewindhandlersExtension: default setRed/Green/Blue/Alpha and HSB setters that mutate the underlying colour
com.moonsworth.lunar.files	Files2	BinaryMappingsFormat	constants for the binary "kin" mappings format: magic 99151942 (0x5E8B0C6), version 1, extension "kin"; method1 formats the magic for the error in BinaryMappingsReader
com.moonsworth.lunar.files	Files5	VersionPlaceholder	(key,value) pair of launcher version metadata (mcVer/mcId/mcpVer/parchmentVer/parchmentMcVer/computeFrames); Files5$Extension.method2 substitutes ${key} in URLs
com.moonsworth.lunar.files	Files_4	MappingNormalizer	lorenz MappingSet utilities: copy (method1/2), inheritance-aware de-dup (method3/4), package re-rooting (method5) and classpath-filling normalization (method6-10)
com.moonsworth.lunar.files	Files_5	FileHashUtils	file utility: zip/jar validity check (method1), SHA-1 (method2/3) and CRC32 (method4) hashing, hex encoding (method5)
com.moonsworth.lunar.bridge.itemcounter.mixin	Itemcounter2	ChunkBridge	duck interface implemented by ChunkMixin (@Mixin Chunk): bridge$getWorld/getEntities/getBiome/getX/getZ/getHeightmapHeight/getBlockState/getSkyLight/getBlockLight/isLoaded
com.moonsworth.lunar.bridge.itemcounter.mixin	Itemcounter3	BlockAccessBridge	empty marker duck interface in the world/chunk bridge bucket; no implementor or reference in this build (sibling Itemcounter2 = Chunk)
com.moonsworth.lunar.bridge.itemcounter.mixin	Itemcounter4	WorldBridge	empty marker duck interface in the world/chunk bridge bucket; no implementor or reference in this build
com.moonsworth.lunar.bridge.lighting	Lighting2	ScoreBridge	implemented by ScoreMixin (@Mixin Score): bridge$getPlayerName/getPlayerComponent/getScoreComponent/getScorePoints/setScorePoints
com.moonsworth.lunar.bridge.lighting	Lighting3	ScorePlayerTeamBridge	implemented by ScorePlayerTeamMixin (@Mixin ScorePlayerTeam): bridge$getChatFormat/formatString/getPrefixAndSuffix
com.moonsworth.lunar.bridge.lighting	Lighting4	ScoreboardBridge	scoreboard bridge: bridge$getPlayersTeam/getObjectiveInDisplaySlot/getSortedScores/getValueFromObjective; returned by ScoreObjective/WorldClient getScoreboard
com.moonsworth.lunar.client.click.chest	Gui2Iterator22	FriendNotification	toast notification "friendsHint" for a friend (uuid + Memory user + chat flag); icon = HeadTextureCache head; provide() serializes uuid/user/chat
com.moonsworth.lunar.client.click.chest	Gui2Iterator222	FriendNotificationLong	FriendNotification subclass that only multiplies durationMs by 1.5
com.moonsworth.lunar.client.click.chest	Gui2Iterator23	HostedWorldNotification	toast notification "hostedWorldHint" (single or title/description); icon = ChestType.SUCCESS
com.moonsworth.lunar.client.fog	Fog2	IgnoredExceptionPatterns	name->Pattern registry (method1 register, method2 values); Inventorymod3.method1 drops throwables whose stack trace matches any pattern
com.moonsworth.lunar.client.fog	FogHandler2	AbstractMapHandler	abstract Fog lifecycle handler backed by a Map<T,V> (method3 factory, method2 map, clear); init() loads Fishing entries and logs the count
com.moonsworth.lunar.client.fog	Fog_2	GcMonitor	singleton JFR RecordingStream listening to jdk.GarbageCollection; method1 fills RecordPerfSnapshotRequest gcCycles/longest/shortest/avg/median
com.moonsworth.lunar.client.framework.feature.crosshair.mixin	Gui2Extension2	CrosshairGridSize	crosshair grid option SMALL/MEDIUM/BIG/HUGE (crosshairGridSmall..Huge, sizes 7/15/31/63) with fromGridLength/smaller/bigger
com.moonsworth.lunar.client.framework.feature.crosshair.mixin	Gui2Extension3	CrosshairScale	crosshair scale option SMALL/NORMAL/LARGE/AUTO (scale 1..4)
com.moonsworth.lunar.client.framework.feature.crosshair.mixin	Gui2Extension4	CrosshairShape	crosshair shape option CROSS/CIRCLE/ARROW/TRIANGLE/SQUARE/DOT/CIRCLE_DOT/X
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod	Data2	FpsDebugError	NESTED Fpsdebugmod.Data2: (section name, Exception) collected via method4 and written to errors.txt in the report zip	com/moonsworth/lunar/client/framework/feature/debug/fpsdebugmod/Fpsdebugmod.java
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod	Fpsdebugmod2	FpsDebugTask	task interface: name(), enabled (method1), interval (method2), phase (method3) and Future<Fpsdebugmod> run (method4)
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod	Fpsdebugmod3	FpsDebugCollector	collects FpsDebugTasks, runs them per FpsdebugmodType phase and merges the resulting Fpsdebugmod archives (method8/9)
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod.mixin	Fpsdebugmod2	EventBusDebugTask	FpsDebugTask "events": dumps LunarEventBus listener counts (events.txt)
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod.mixin	Fpsdebugmod3	DynamicListenerDebugTask	FpsDebugTask "dynamic-listeners": dumps GuiRewindhandlersHandler2 dynamic listeners (dynamic-listeners.txt)
com.moonsworth.lunar.client.framework.feature.debug.fpsdebugmod.mixin	Fpsdebugmod4	F3DataDebugTask	FpsDebugTask "f3-data": captures F3Display/Gui2Extension debug lines (f3-data.txt)
com.moonsworth.lunar.client.framework.feature.heightlimit	Data2	HeightScanChunk	NESTED Heightlimit2.Data2: caches the current Itemcounter2 chunk + a reusable BlockPos to read blocks during the async height scan	com/moonsworth/lunar/client/framework/feature/heightlimit/Heightlimit2.java
com.moonsworth.lunar.client.framework.feature.heightlimit	Data3	HeightScanResult	NESTED Heightlimit2.Data3: scan result (x/y/z IntLists + face ByteList + limit + world) rendered as the barrier/darken mesh	com/moonsworth/lunar/client/framework/feature/heightlimit/Heightlimit2.java
com.moonsworth.lunar.client.framework.feature.heightlimit	Heightlimit2	HeightLimitRenderer	package-private engine: async block scan around the player (method4/5) plus immediate-mode mesh render for the HeightLimit overlay (method2/6/7)
com.moonsworth.lunar.client.framework.feature.killsounds.mixin	Killsounds2	KillEvent	(kill type MELEE/ARROW/ROD/THROWABLE, Instant) recorded when a kill is detected and mapped to a KillsoundsType
com.moonsworth.lunar.client.framework.feature.killsounds.mixin	Killsounds3	KillSoundFilter	named kill-message filter: patterns with <username>/<target> regexes, HYPIXEL/OTHER/ALL type and gameTypes; method2 extracts the target name
com.moonsworth.lunar.client.framework.feature.killsounds.mixin	Killsounds4	KillMessageParser	@FunctionalInterface parseTargetName(String, HighlightImpl.Data) -> Optional<String>; implemented by Killsounds4Loader/2
