package	old	new	evidence	file
com.moonsworth.lunar.client.util.gui	ListExtension2	ImmutableListView	immutable List view: every mutator (add/addAll/remove/set/clear/retainAll/...) throws UnsupportedOperationException("List is immutable!"); factory method1(List) wraps in ListExtension22; returned by CopyOnWriteIfNeededArrayList.withImmutableView	com/moonsworth/lunar/client/util/gui/ListExtension2.java
com.moonsworth.lunar.client.util.gui	ListExtension22	ImmutableListViewImpl	only implementation of ListExtension2; delegates all reads to a wrapped List and re-wraps subList via ListExtension2.method1; anonymous immutable Iterator/ListIterator	com/moonsworth/lunar/client/util/gui/ListExtension22.java
com.moonsworth.lunar.client.util.gui	ListExtension3	CopyOnWriteIfNeededArrayList	copy-on-write list: error string "CopyOnWriteIfNeededArrayList doesn't support subList()!"; method1() clones innerList only when a mutation happens while an immutable view is live; implements ListExtension.withImmutableView	com/moonsworth/lunar/client/util/gui/ListExtension3.java
com.moonsworth.lunar.client.util.mixin	Data2	LazyListBuilder	MixinHelper22$Data2: lazy ListBuilder backed by a Supplier<L extends List<T>>; list created on first method2/method3; build() returns null while untouched	com/moonsworth/lunar/client/util/mixin/MixinHelper22.java
com.moonsworth.lunar.client.util.mixin	MixinHelper2	ListBuilder	fluent list-builder interface (extends MixinHelper): default method2(T...) -> method3(Collection), @Contract("_->this") self-returning add/remove API	com/moonsworth/lunar/client/util/mixin/MixinHelper2.java
com.moonsworth.lunar.client.util.mixin	MixinHelper22	ListBuilderImpl	ListBuilder implementation: method3(Collection)=removeAll, method2(Collection)=addAll, method3(Predicate)=removeIf, build(), method4()=unmodifiableList and the static factories	com/moonsworth/lunar/client/util/mixin/MixinHelper22.java
com.moonsworth.lunar.files.mixin	Files2	AssetIndex	toString "AssetIndex(id=, sha1=, url=)"; @SerializedName id/sha1/url; referenced as assetIndex in ResolvedVersion	com/moonsworth/lunar/files/mixin/Files2.java
com.moonsworth.lunar.files.mixin	Files3	VersionInfo	toString "VersionInfo{id, type, url, time, releaseTime, parent}"; method2() version>=26; method1() fetches its own url into ResolvedVersion	com/moonsworth/lunar/files/mixin/Files3.java
com.moonsworth.lunar.files.mixin	Files4	VersionManifest	toString "VersionManifest(latest=, versions=)"; field1 = launchermeta version_manifest.json URL; method9(id) lookup; sorts/normalises the version list	com/moonsworth/lunar/files/mixin/Files4.java
com.moonsworth.lunar.legacy.wrapper.util	OpenALNative2	OpenALSupport	empty holder for a public static boolean availability flag; sibling OpenALNative is the JNA OpenAL Library interface	com/moonsworth/lunar/legacy/wrapper/util/OpenALNative2.java
com.moonsworth.lunar.legacy.wrapper.util	OpenALNative3	BlockPathEvaluator	static method1(Itemcounter6, Vec3iBridge, Bridge2_17, PathType) decides pathfindability per block type for LAND/WATER/AIR; called from Bridge2Handler.bridge$isPathfindable	com/moonsworth/lunar/legacy/wrapper/util/OpenALNative3.java
com.moonsworth.lunar.legacy.wrapper.util	OpenALNative4	GuavaFunctionAdapter	adapts com.google.common.base.Function to java.util.function.Function through apply()	com/moonsworth/lunar/legacy/wrapper/util/OpenALNative4.java
com.moonsworth.lunar.mixin.mixin	BiomeGenBaseMixin2	BiomeGenBaseBridgeMixin	@Mixin(BiomeGenBase) implements BiomeBridge (bridge$getBiomeName/getBiomeID/getTemperature); 1.8.9 twin of legacy/mixin/BiomeGenBaseMixin	com/moonsworth/lunar/mixin/mixin/BiomeGenBaseMixin2.java
com.moonsworth.lunar.mixin.mixin	ChunkMixin2	ChunkBiomeMixin	@Mixin(Chunk) implements bridge.itemcounter.mixin.Itemcounter2 and adds bridge$getBiome(Vector3i, Itemcounter3_3)	com/moonsworth/lunar/mixin/mixin/ChunkMixin2.java
com.moonsworth.lunar.mixin.mixin	WorldMixin2	WorldBiomeMixin	@Mixin(value=World, priority=201) implements Itemcounter6 and adds bridge$getBiome(int,int,int)	com/moonsworth/lunar/mixin/mixin/WorldMixin2.java
com.moonsworth.lunar.bridge.fog	Fog2	PotionBridge	status-effect type bridge: bridge$isBadEffect/hasStatusIcon/getStatusIconIndex/getID (the 1.8.9 Potion class); returned by the Fog3 type getters	com/moonsworth/lunar/bridge/fog/Fog2.java
com.moonsworth.lunar.bridge.fog	Fog3	PotionRegistryBridge	potion-type registry: methods return Fog2 (by builtin/name), method10 creates a Fog (PotionEffect), plus name/Component/item-stack lookups	com/moonsworth/lunar/bridge/fog/Fog3.java
com.moonsworth.lunar.client.calculator	Calculator2	Translatable	getLanguagePath() plus default method1(String,Object...) delegating to Client...method3(this,key,args); implemented by framework Calculator2Handler, FeatureDetailsImpl, toggle Calculator2Type	com/moonsworth/lunar/client/calculator/Calculator2.java
com.moonsworth.lunar.client.calculator	CalculatorType2	TranslationVariable	id/dynamic/replacement variable registry; getReplacement(name)/getVariable(name) feed TranslationFormatter {name} substitution	com/moonsworth/lunar/client/calculator/CalculatorType2.java
com.moonsworth.lunar.client.calculator.mixin	CalculatorHandler2	StringArrayTranslation	pre-rendered String[] translation: method2 joins literals and args, method3 maps args; returned by Calculator.Data.method5 when no Supplier args	com/moonsworth/lunar/client/calculator/mixin/CalculatorHandler2.java
com.moonsworth.lunar.client.calculator.mixin	CalculatorHandler3	ConstantTranslation	single constant String translation (method2/method3 return field1); returned for a literal-only translation	com/moonsworth/lunar/client/calculator/mixin/CalculatorHandler3.java
com.moonsworth.lunar.client.feature	Module2	CosmeticSettings	toString "CosmeticSettings(useClothCloaks, showHatsOverHelmet, ... hatHeightOffset)"; load/save JsonObject keys clothCloak/flipShoulder/showOverChestplate/...	com/moonsworth/lunar/client/feature/Module2.java
com.moonsworth.lunar.client.feature	ModuleType2	CosmeticCategory	enum HATS/BODYWEAR whose location is cosmetics/indexes/<name>.json	com/moonsworth/lunar/client/feature/ModuleType2.java
com.moonsworth.lunar.client.fishing	Fishing2	ExternalLink	marker interface for the external-link registry Fishing; error "Unable to find ExternalLink interface for class: ..."	com/moonsworth/lunar/client/fishing/Fishing2.java
com.moonsworth.lunar.client.fishing	Fishing_2	FancyMenuCompat	reflectively probes "de.keksuccino.fancymenu.FancyMenu"; method1() reports whether FancyMenu is loaded	com/moonsworth/lunar/client/fishing/Fishing_2.java
com.moonsworth.lunar.client.fog.gui	Gui2	OptionGroup	named group of settings: String name + List<LightingExtension<?>> options(); stored in the fog.gui.Gui option map	com/moonsworth/lunar/client/fog/gui/Gui2.java
com.moonsworth.lunar.client.fog.gui	Gui3	ModMetadata	mod_metadata.json entry model: aliases/categories/authors string sets + languagePath; loaded by FogHandler2 and merged into the Framework8 feature details	com/moonsworth/lunar/client/fog/gui/Gui3.java
com.moonsworth.lunar.client.fov.mixin.rewindhandlers	Data5	ConditionalOutfitEntry	Rewindhandlers2$Data5: pair of an equip-condition Rewindhandlers and the cosmetic outfit (Gui2Iterator) it selects	com/moonsworth/lunar/client/fov/mixin/rewindhandlers/Rewindhandlers2.java
com.moonsworth.lunar.client.fov.mixin.rewindhandlers	Rewindhandlers2	ConditionalOutfitTree	list of conditional outfits plus a default outfit; (de)serialised to/from com.lunarclient.websocket.cosmetic.v2.OutfitTree (getConditionalOutfitsList/defaultOutfitId)	com/moonsworth/lunar/client/fov/mixin/rewindhandlers/Rewindhandlers2.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator2	AttackIndicatorProvider	package-private provider interface for the attack indicator: isVanilla, active, progress value, charged/icon/sound hooks; implemented by Attackindicator2Handler*	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator2.java
com.moonsworth.lunar.client.framework.feature.attackindicator.mixin	Attackindicator3	AttackIndicatorState	immutable snapshot of an Attackindicator2 for one player/entity: vanilla/active/value/flags/icon/provider	com/moonsworth/lunar/client/framework/feature/attackindicator/mixin/Attackindicator3.java
com.moonsworth.lunar.client.framework.feature.crosshair	Crosshair2	CrosshairPattern	boolean-grid crosshair model: LCCH string (de)serialisation, resize/scale, isEmpty and "LCCH"-prefixed toString	com/moonsworth/lunar/client/framework/feature/crosshair/Crosshair2.java
com.moonsworth.lunar.client.framework.feature.crosshair	Crosshair3	CrosshairPresets	built-in LCCH preset strings and field17 Set<Crosshair2> used by method1 for near-equality matching	com/moonsworth/lunar/client/framework/feature/crosshair/Crosshair3.java
com.moonsworth.lunar.client.framework.feature.crosshair.crosshairelytra	Crosshairelytra2	CrosshairShapeRenderer	renders custom crosshair shapes CROSS/CIRCLE/ARROW/TRIANGLE/SQUARE/DOT/... from crosshairShape/thickness/width/height/gap/dot options	com/moonsworth/lunar/client/framework/feature/crosshair/crosshairelytra/Crosshairelytra2.java
com.moonsworth.lunar.client.framework.feature.crosshair.crosshairelytra	Crosshairelytra3	CrosshairTextureRenderer	renders the custom crosshair as a texture (crosshair + _outline BufferedImage, 500ms reload) for a CrosshairChildMod	com/moonsworth/lunar/client/framework/feature/crosshair/crosshairelytra/Crosshairelytra3.java
com.moonsworth.lunar.client.framework.feature.markers.mixin	Markers2	MarkerSource	local marker source config: selected teams (Set<Gui2Extension>), recipient UUIDs from the player-info map, source validation, and the serialised Markers descriptor	com/moonsworth/lunar/client/framework/feature/markers/mixin/Markers2.java
com.moonsworth.lunar.client.framework.feature.markers.mixin	Markers3	MarkerDetectionFunction	@FunctionalInterface boolean check(Bridge2_33, GameProfile, Markers) used as the detection function of Gui2Extension marker teams	com/moonsworth/lunar/client/framework/feature/markers/mixin/Markers3.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.lotusfish	Lotusfish2	PlayerListEntryParser	regex parses Hypixel player-list entries "[lvl] [rank] name [emblem][gamemode][faction] (class level)" into level/rank/name/emblem/gamemode/faction/dungeonClass	com/moonsworth/lunar/client/framework/feature/mod/fishing/lotusfish/Lotusfish2.java
com.moonsworth.lunar.client.framework.feature.mod.fishing.lotusfish	Lotusfish3	ScoreboardSection	contiguous scoreboard lines belonging to one tab widget; built from GuiRewindhandlersHandler24 outputs and keyed by tab-widget id in SkyblockScoreboardParser	com/moonsworth/lunar/client/framework/feature/mod/fishing/lotusfish/Lotusfish3.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.highlight	GuiRewindhandlersHandler22	HighlightTypeListener	listens to EventScreenChange/HighlightImpl20, matches the current screen title against HighlightType patterns and exposes the current HighlightType	com/moonsworth/lunar/client/framework/feature/mod/holograms/highlight/GuiRewindhandlersHandler22.java
com.moonsworth.lunar.client.framework.feature.mod.holograms.highlight	GuiRewindhandlersHandler23	StorageOverlayListener	ticks Storage/Backpack/Ender-Chest screens and maintains the cached Storageoverlay list from the SkyblockProfileCache	com/moonsworth/lunar/client/framework/feature/mod/holograms/highlight/GuiRewindhandlersHandler23.java
