# owner.fqn	M|F	oldName	newName	evidence
com.moonsworth.lunar.bridge.MixinHelper_4	M	method1	fill	abstract quad-fill primitive (x1,y1,x2,y2,argb); MixinHelper5 draws 6 vertices with MixinHelper5_6.field19, MixinHelper6_5 impl bridge$fill$v1_20_0
com.moonsworth.lunar.bridge.MixinHelper_4	M	method2	fillFloat	float-coordinate fill: swap/clamp then push + translate(x1,y1) + scale(x2-x1,y2-y1) + method1(0,0,1,1)
com.moonsworth.lunar.bridge.MixinHelper_4	M	method3	fillRect	fill(int x, y, width, height, argb) delegating to method1(x,y,x+w,y+h)
com.moonsworth.lunar.bridge.MixinHelper_4	M	method4	fillRectFloat	float x,y,width,height fill delegating to method2
com.moonsworth.lunar.bridge.MixinHelper_4	M	method5	fillGradient	abstract gradient fill (argb top, argb bottom); MixinHelper6_5 impl bridge$fillGradient$v1_20_0
com.moonsworth.lunar.bridge.MixinHelper_4	M	method6	fillGradientFloat	float gradient fill delegating to method2 when both colours match, else method9 with per-vertex colours
com.moonsworth.lunar.bridge.MixinHelper_4	M	method7	fillGradientRect	int x,y,width,height gradient fill decider (method1 when equal else method8)
com.moonsworth.lunar.bridge.MixinHelper_4	M	method8	fillGradientRectFloat	float gradient quad, 6 vertices with top/bottom colours
com.moonsworth.lunar.bridge.MixinHelper_4	M	method9	drawCustom	opens a vertex sink for a render type + optional texture and hands it to the consumer (draws lines/triangles/circles); MixinHelper6_5 impl submits a dynamic buffer
com.moonsworth.lunar.bridge.MixinHelper_4	M	method10	drawString	abstract drawString(Component, int x, int y, argb, shadow); MixinHelper5 delegates to Bridge10_2.bridge$drawString
com.moonsworth.lunar.bridge.MixinHelper_4	M	method11	drawStringFloat	float-coordinate Component drawString: push + translate + method10
com.moonsworth.lunar.bridge.MixinHelper_4	M	method12	drawText	abstract Bridge2_42 (formatted text) drawString variant; MixinHelper5 delegates to Bridge10_2.bridge$drawString
com.moonsworth.lunar.bridge.MixinHelper_4	M	method13	drawTextFloat	float-coordinate Bridge2_42 drawString variant
com.moonsworth.lunar.bridge.MixinHelper_4	M	method14	drawStringStyled	drawString(Component) with MixinHelper4_2 dynamic colour transform; MixinHelper6_5 pushes MixinHelper2_12 colour holder
com.moonsworth.lunar.bridge.MixinHelper_4	M	method15	drawStringStyledFloat	float-coordinate styled Component drawString
com.moonsworth.lunar.bridge.MixinHelper_4	M	method16	drawTextStyled	drawString(Bridge2_42) with dynamic colour transform
com.moonsworth.lunar.bridge.MixinHelper_4	M	method17	drawTextStyledFloat	float-coordinate styled Bridge2_42 drawString
com.moonsworth.lunar.bridge.MixinHelper_4	M	method18	drawStringRaw	abstract String drawString(int); MixinHelper6_5 wraps Component.text so bidi is applied
com.moonsworth.lunar.bridge.MixinHelper_4	M	method19	drawStringRawFloat	float-coordinate String drawString
com.moonsworth.lunar.bridge.MixinHelper_4	M	method20	drawStringRawStyled	String drawString with dynamic colour transform
com.moonsworth.lunar.bridge.MixinHelper_4	M	method21	drawStringRawStyledFloat	float-coordinate styled String drawString
com.moonsworth.lunar.bridge.MixinHelper_4	M	method22	drawStringNoBidi	String drawString duplicate path; MixinHelper6_5 impl uses bridge$drawStringNoBidi$v1_20_0 (method18 keeps bidi)
com.moonsworth.lunar.bridge.MixinHelper_4	M	method23	drawStringNoBidiFloat	float-coordinate no-bidi String drawString
com.moonsworth.lunar.bridge.MixinHelper_4	M	method24	blit	blit whole texture at int x,y,width,height with tint; MixinHelper6_5 impl bridge$blit$v1_21_6, MixinHelper5 scale-uv quad of MixinHelper5_6.field33
com.moonsworth.lunar.bridge.MixinHelper_4	M	method25	blitRegion	textured rect (texture, x, y, u, v, width, height, texWidth, texHeight, tint); Bridge7Iterator.method46 forwards here
com.moonsworth.lunar.bridge.MixinHelper_4	M	method26	blitRegionGlint	same as method25 but routed through the glint render type (MixinHelper5_6.field32/MixinHelper_2.field36)
com.moonsworth.lunar.bridge.MixinHelper_4	M	method27	drawCenteredString	centered Component: x -= bridge$getStringWidth(component)/2 then method11
com.moonsworth.lunar.bridge.MixinHelper_4	M	method28	drawCenteredStringRaw	centered String via method19
com.moonsworth.lunar.bridge.MixinHelper_4	M	method29	drawCenteredStringRawFloat	float-x centered String via method19
com.moonsworth.lunar.bridge.MixinHelper_4	M	method30	drawCenteredStringNoBidi	centered String via method23 (no-bidi path)
com.moonsworth.lunar.bridge.MixinHelper_4	M	method31	drawLine	line between (x1,y1) and (x2,y2) with width; MixinHelper5 uses a width line buffer, MixinHelper6_5 rotates+method1
com.moonsworth.lunar.bridge.MixinHelper_4	M	method32	drawLines	line path: consumer receives MixinHelper3_2 LineSink emitting (x1,y1,x2,y2) segments; MixinHelper6_5 forwards each to method31
