# owner.fqn	M|F	oldName	newName	evidence
com.moonsworth.lunar.client.lighting.Lighting	M	method2	floatOption	static factory -> FloatOption.Data (float slider+range builder)
com.moonsworth.lunar.client.lighting.Lighting	M	method5	shortOption	static factory -> ShortOption.Data
com.moonsworth.lunar.client.lighting.Lighting	M	method6	byteOption	static factory -> ByteOption.Data
com.moonsworth.lunar.client.lighting.Lighting	M	method7	toggle	static factory -> ToggleOption.ToggleOptionBuilder (1576 call sites)
com.moonsworth.lunar.client.lighting.Lighting	M	method8	color	static factory -> ColorOption.Data (540 call sites)
com.moonsworth.lunar.client.lighting.Lighting	M	method9	enumOption	static factory -> EnumOption.Data<T>
com.moonsworth.lunar.client.lighting.Lighting	M	method10	enumOption	static factory -> EnumOption.Data<T> with default value (221 call sites)
com.moonsworth.lunar.client.lighting.Lighting	M	method11	triState	static factory -> TriStateOption.Data (BooleanOption FALSE/DEFAULT/TRUE)
com.moonsworth.lunar.client.lighting.Lighting	M	method12	text	static factory -> TextOption.Data
com.moonsworth.lunar.client.lighting.Lighting	M	method13	sound	static factory -> SoundOption.Data
com.moonsworth.lunar.client.lighting.Lighting	M	method14	button	static factory -> ButtonOption.Data (90 call sites)
com.moonsworth.lunar.client.lighting.Lighting	M	method15	label	static factory -> LabelOption.Data
com.moonsworth.lunar.client.lighting.Lighting	M	method16	autoTextHotkey	static factory -> AutoTextHotkeyOption.Data
com.moonsworth.lunar.client.lighting.Lighting	M	method17	simpleKeybind	static factory -> SimpleKeybindOption.Data
com.moonsworth.lunar.client.lighting.Lighting	M	method18	modifierKeybind	static factory -> ModifierKeybindOption.Data (mod hotkeys, 118 call sites)
com.moonsworth.lunar.client.lighting.Lighting	M	method19	dynamicDropdown	static factory -> DynamicDropdownOption.Data
com.moonsworth.lunar.client.lighting.Lighting	M	method20	multiNumber	static factory -> MultiNumberOption.Data<T>
com.moonsworth.lunar.client.lighting.Lighting	M	method22	multiNumber	static factory -> MultiNumberOption.Data<T> varargs default
com.moonsworth.lunar.client.lighting.Lighting	M	method23	dropdown	static factory -> DropdownOption.Data<T>
com.moonsworth.lunar.client.lighting.Lighting	M	method24	dropdown	static factory -> DropdownOption.Data<T> with default value
com.moonsworth.lunar.client.lighting.Lighting	M	method25	namedDropdown	static factory -> NamedDropdownOption.Data<T>
com.moonsworth.lunar.client.lighting.Lighting	M	method26	namedDropdown	static factory -> NamedDropdownOption.Data<T> with default value
com.moonsworth.lunar.client.lighting.Lighting	M	method27	multiSelect	static factory -> MultiSelectOption.Data (20 call sites)
com.moonsworth.lunar.client.lighting.Lighting	M	method28	itemSelect	static factory -> ItemSelectOption.Data (item registry multi-select)
com.moonsworth.lunar.client.lighting.Lighting	M	method29	list	static factory -> ListOption.Data<?, T>
com.moonsworth.lunar.client.lighting.Lighting	M	method30	list	static factory -> ListOption.Data<?, T> with default list
com.moonsworth.lunar.client.lighting.Lighting	M	method31	list	static factory -> ListOption.Data<?, T> with list Codec
com.moonsworth.lunar.client.lighting.Lighting	M	method32	listWithRenderer	static factory -> ListOption.Data + custom entry renderer (Calculator2Iterator34)
com.moonsworth.lunar.client.lighting.Lighting	M	method33	set	static factory -> SetOption.Data<V, S>
com.moonsworth.lunar.client.lighting.Lighting	M	method34	set	static factory -> SetOption.Data<V, S> with default set
com.moonsworth.lunar.client.lighting.Lighting	M	method35	set	static factory -> SetOption.Data<V, S> with set Codec
com.moonsworth.lunar.client.lighting.Lighting	M	method36	map	static factory -> MapOption.Data<K, V, M>
com.moonsworth.lunar.client.lighting.Lighting	M	method37	map	static factory -> MapOption.Data<K, V, M> with default map
com.moonsworth.lunar.client.lighting.Lighting	M	method38	map	static factory -> MapOption.Data<K, V, M> with map Codec
com.moonsworth.lunar.client.lighting.Lighting	M	method39	empty	static factory -> Lighting.Data placeholder option (MarkersType.UNKNOWN, null value)
com.moonsworth.lunar.client.lighting.Lighting	M	method40	simpleOption	static factory -> Lighting.SimpleOptionBuilder<T>
com.moonsworth.lunar.client.lighting.Lighting	M	method41	simpleOption	static factory -> SimpleOptionBuilder<T> with default value
com.moonsworth.lunar.client.lighting.Lighting	M	method42	simpleOption	static factory -> SimpleOptionBuilder<T> with Codec
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field1	id	option id; getId() returns it
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field2	markerType	Driver/DisplaySpec marker set by method16
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field3	hideFromApi	true -> Nameplate.field12 "hide_from_api" trait (Flag.INSTANCE), else intercept alert
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field4	nameSupplier	Supplier<String> display name (method14)
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field5	description	lang description set by method12
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field6	icon	stroke icon for the display spec
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field7	noCodec	true when method21() nulls the codec (raw value)
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field8	jsonProvider	Function<O, GuiExtension> data provider (method10/11)
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field9	visibleWhen	BooleanSupplier visibility predicate (method17)
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field10	featureLink	Nameplate3 feature link (method18/19)
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field11	badges	Set<LightingType> option badges (method26/27)
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field12	hiddenByDefault	initial hidden flag; method24/25 set it
com.moonsworth.lunar.client.lighting.LightingHandler_2	F	field13	customComponent	BiFunction option-renderer override (method9)
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method9	customComponent	void method9(BiFunction) sets field13; no-arg method9() is the null default hook
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method12	description	B method12(String) sets the display description
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method13	displayName	B method13(String) constant display name
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method14	displayName	B method14(Supplier<String>) dynamic display name
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method15	icon	B method15(markers.MarkersType) stroke icon
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method16	markerType	B method16(markers.mixin.MarkersType) option marker/type
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method17	visibleWhen	B method17(BooleanSupplier) visibility predicate
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method18	feature	B method18(Framework7Extension) links the owning feature
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method19	featureLink	B method19(Nameplate3) explicit feature link
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method20	codec	B method20(Codec<T>) sets the value codec
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method21	unencoded	B method21() nulls the codec (no JSON round-trip)
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method22	hideFromApi	B method22(boolean) hide_from_api flag
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method23	hideFromApi	B method23() forces hide_from_api = true
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method24	shown	B method24() clears the hidden-by-default flag
com.moonsworth.lunar.client.lighting.LightingHandler_2	M	method25	hidden	B method25() sets the hidden-by-default flag
