count	file	class	tokens
1779	com/moonsworth/lunar/client/framework/feature/mod/fishing/click/Click.java	Click	field,flag,method,number,text,value
1271	com/moonsworth/lunar/forge/lib/MixinHelper77.java	MixinHelper77	arg,field,flag,method,number,obj,text
1236	com/moonsworth/lunar/client/mixin/EntityRenderer4.java	EntityRenderer4	arg,field,flag,method,number,obj,text,value
1037	com/moonsworth/lunar/client/horsestats/Horsestats3.java	Horsestats3	arg,field,flag,method,number,text,value
1015	com/moonsworth/lunar/forge/lib/guava/cache/LocalCache.java	LocalCache	arg,flag,number,obj,value
973	com/moonsworth/lunar/forge/lib/MixinExtra10Loader5.java	MixinExtra10Loader5	field,flag,method,number,text
969	com/moonsworth/lunar/client/mod/misc/Skyblock.java	Skyblock	arg,field,flag,method,text
956	com/moonsworth/lunar/forge/lib/CloseableLoader.java	CloseableLoader	field,flag,method,number,text
882	com/moonsworth/lunar/forge/lib/OutputStreamSerializer_3.java	OutputStreamSerializer_3	field,flag,method,number,obj,text
871	com/moonsworth/lunar/client/mod/render/Minimap.java	Minimap	arg,field,flag,method,number,text,value
859	com/moonsworth/lunar/client/framework/feature/heightlimit/Heightlimit2.java	Heightlimit2	arg,field,flag,method,number,value
781	com/moonsworth/lunar/client/mod/render/Waypoints.java	Waypoints	arg,field,flag,method,number,text,value
734	com/moonsworth/lunar/client/horsestats/mixin/Horsestats4.java	Horsestats4	arg,field,flag,method,number,text,value
730	com/moonsworth/lunar/client/framework/feature/mod/fishing/click/Click16.java	Click16	field,flag,method,number,value
711	com/moonsworth/lunar/client/util/ThreadModuleDump23.java	ThreadModuleDump23	field,flag,method,number,text,value
703	com/moonsworth/lunar/client/framework/feature/mod/fishing/holograms/Holograms3_2.java	Holograms3_2	arg,field,flag,method,number,text,value
694	com/moonsworth/lunar/client/mod/misc/SkyblockPartyFinder.java	SkyblockPartyFinder	field,flag,method,number,text,value
681	com/moonsworth/lunar/forge/lib/InputStreamLoader_2.java	InputStreamLoader_2	field,flag,method,number,text
654	com/moonsworth/lunar/forge/lib/MixinMoreBase3.java	MixinMoreBase3	field,flag,method,number
649	com/moonsworth/lunar/client/mod/misc/RewindHandlers.java	RewindHandlers	arg,field,flag,method,number,text,value
618	com/moonsworth/lunar/client/mod/hud/Coordinates.java	Coordinates	field,flag,method,number,text,value
599	com/moonsworth/lunar/genesis/MixinHelper2_8.java	MixinHelper2_8	flag,number,obj,text,value
599	com/moonsworth/lunar/forge/lib/guava/base/Preconditions.java	Preconditions	flag,number,obj,text,value
590	com/moonsworth/lunar/client/inactive/mixin/highlight/Highlight.java	Highlight	field,flag,method,number,text,value
587	com/moonsworth/lunar/client/framework/feature/crosshair/crosshairelytra/Crosshairelytra2.java	Crosshairelytra2	field,flag,method,number,value
585	com/moonsworth/lunar/legacy/wrapper/TessellatorImpl.java	TessellatorImpl	field,method,number,value
