package	n_classes	n_lazy	sample
com.moonsworth.lunar	963	680	AbstractCollectionIterator,AbstractMapLoader,Annotation,Annotation10,Annotation10_2,Annotation11
com.moonsworth.lunar.altmanager	7	0	AltAccount,AltList,AltManagerMod,AltStore,Client,DeviceCode
com.moonsworth.lunar.annotations	6	4	Annotation,Annotation2,Annotation3,Annotation4,SourceMarker,ThreadRestrictions
com.moonsworth.lunar.bridge	981	240	AbstractHorseBridge,AbstractMethodErrorImpl,AbstractTextureMultiTexBridge,AdventureComponentBridge,AdventureComponentCoercion,AlcBridge
com.moonsworth.lunar.bridge.fog	3	2	Fog,Fog2,Fog3
com.moonsworth.lunar.bridge.glintcolorizer	1	0	Glintcolorizer
com.moonsworth.lunar.bridge.glintcolorizer.mixin	2	1	Glintcolorizer,Glintcolorizer2
com.moonsworth.lunar.bridge.hitbox	2	1	Hitbox,Hitbox2
com.moonsworth.lunar.bridge.hitcolor	3	1	Hitcolor,Hitcolor2,HitcolorExtension
com.moonsworth.lunar.bridge.horsestats	60	49	BridgeExtension,Data,Data2,Data3,Extension,Horsestats
com.moonsworth.lunar.bridge.horsestats.mixin	4	1	Horsestats,HorsestatsHandler,HorsestatsType,HorsestatsType2
com.moonsworth.lunar.bridge.itemcounter	29	15	Itemcounter,Itemcounter$Extension,Itemcounter$Type,Itemcounter$Type2,Itemcounter2,Itemcounter2_2
com.moonsworth.lunar.bridge.itemcounter.mixin	4	3	Itemcounter,Itemcounter2,Itemcounter3,Itemcounter4
com.moonsworth.lunar.bridge.lighting	4	3	Lighting,Lighting2,Lighting3,Lighting4
com.moonsworth.lunar.bridge.minecraft	29	1	AxisCoordinateChooser,ChatComponentFactoryBridge,ChatFormatting,ClickEventActionBridge,ClipboardBridge,DamageSourceBridge
com.moonsworth.lunar.bridge.mixin	4	1	ClickEventBridge,HoverEventBridge,MixinHelper,MixinHelper2
com.moonsworth.lunar.bridge.optifine	9	0	ConnectedProperties,ConnectedTextureMethod,ConnectedTexturesBridge,CustomColorsBridge,CustomItemsBridge,OptifineBridge
com.moonsworth.lunar.bridge.particle	4	0	LegacyParticleType,ParticleData,ParticleType,SimpleParticleData
com.moonsworth.lunar.bridge.potion	3	0	PotionBridge,PotionEffectBridge,PotionRegistryBridge
com.moonsworth.lunar.bridge.resourcepack	2	0	PackFiltersBridge,ResourcePackParentBridge
com.moonsworth.lunar.bridge.scoreboard	4	0	ScoreBridge,ScorePlayerTeamBridge,ScoreboardBridge,ScoreboardObjectiveBridge
com.moonsworth.lunar.bridge.server	1	0	IntegratedServerBridge
com.moonsworth.lunar.bridge.slayer	9	7	Slayer,Slayer2,Slayer3,Slayer4,Slayer5,Slayer6
com.moonsworth.lunar.bridge.stats	2	0	StatBaseBridge,StatisticsFileBridge
com.moonsworth.lunar.bridge.tileentity	3	0	BeamSegmentBridge,BlockEntityBridge,TileEntityChestBridge
com.moonsworth.lunar.bridge.world	27	0	AxisDirection,Biome,BiomeBridge,BiomeCategory,BlockRenderTypeBridge,BoxEdgeConsumer
com.moonsworth.lunar.bridge.world.mixin	4	0	BlockAccessBridge,ChunkBridge,Itemcounter,WorldBridge
com.moonsworth.lunar.bridgeimpl.mixin	1	0	MixinHelper
