package	old	new	evidence
com.moonsworth.lunar.replaymod.mixin	AbstractGuiButtonMixin2	AbstractGuiButtonMixin_v1_8	@Mixin(AbstractGuiButton); @Inject draw HEAD cancellable + ColorInterpAnimation borderColor/backgroundColor 0x40252525/0x20FFFFFF; jar class HORHROIOIOICIRHIOCOICHHHIHCIIO same constants; mixin-renames.tsv:603 v1_8/mixin3/AbstractGuiButtonMixin -> AbstractGuiButtonMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiButtonMixin_v1_8; dup of already-declared AbstractGuiButtonV1_8Mixin (57e98a2b4)
com.moonsworth.lunar.replaymod.mixin	AbstractGuiDropdownMenuMixin2	AbstractGuiDropdownMenuMixin_v1_8	@Mixin(AbstractGuiDropdownMenu); @Inject draw; mixin-renames.tsv:604 v1_8/mixin3/AbstractGuiDropdownMenuMixin -> AbstractGuiDropdownMenuMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiDropdownMenuMixin_v1_8; dup of already-declared AbstractGuiDropdownMenuV1_8Mixin (57e98a2b4)
com.moonsworth.lunar.replaymod.mixin	AbstractGuiElementMixin2	AbstractGuiElement_v1_8	@Mixin(AbstractGuiElement); @Inject <init>()V; upstream name has no Mixin suffix; mixin-renames.tsv:605 v1_8/mixin3/AbstractGuiElementMixin -> AbstractGuiElementMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiElement_v1_8; dup of already-declared AbstractGuiElementV1_8Mixin (57e98a2b4)
com.moonsworth.lunar.replaymod.mixin	AbstractGuiHorizontalScrollbarMixin2	AbstractGuiHorizontalScrollbarMixin_v1_8	@Mixin(AbstractGuiHorizontalScrollbar); @Inject draw; @Redirect GuiRenderer.bindTexture; mixin-renames.tsv:606 v1_8/mixin3/AbstractGuiHorizontalScrollbarMixin -> AbstractGuiHorizontalScrollbarMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiHorizontalScrollbarMixin_v1_8; dup of already-declared AbstractGuiHorizontalScrollbarV1_8Mixin (57e98a2b4)
com.moonsworth.lunar.replaymod.mixin	AbstractGuiLabelMixin2	AbstractGuiLabel_v1_8	@Mixin(AbstractGuiLabel); @Inject setColor(ReadableColor); upstream name has no Mixin suffix; mixin-renames.tsv:607 v1_8/mixin3/AbstractGuiLabelMixin -> AbstractGuiLabelMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiLabel_v1_8; dup of already-declared AbstractGuiLabelV1_8Mixin (57e98a2b4)
com.moonsworth.lunar.replaymod.mixin	AbstractGuiOverlayMixin2	AbstractGuiOverlayMixin_v1_8	@Mixin(AbstractGuiOverlay); @Inject updateUserInputGui; @Redirect Minecraft.displayGuiScreen; mixin-renames.tsv:608 v1_8/mixin3/AbstractGuiOverlayMixin -> AbstractGuiOverlayMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiOverlayMixin_v1_8; dup of already-declared AbstractGuiOverlayV1_8Mixin (57e98a2b4)
com.moonsworth.lunar.replaymod.mixin	AbstractGuiPopupMixin2	AbstractGuiPopup_GuiPanel_v1_8	@Mixin(targets=AbstractGuiPopup$2); @Inject draw; upstream calls the panel anonymous-class mixin GuiPanel; mixin-renames.tsv:609 v1_8/mixin3/AbstractGuiPopupMixin -> AbstractGuiPopupMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiPopup_GuiPanel_v1_8; dup of already-declared AbstractGuiPopupV1_8Mixin (57e98a2b4)
com.moonsworth.lunar.replaymod.mixin	AbstractGuiScreenMixin2	AbstractGuiScreenMixin_v1_8	@Mixin(AbstractGuiScreen); @Inject layout + draw; @ModifyArg RenderInfo.layer; mixin-renames.tsv:610 v1_8/mixin3/AbstractGuiScreenMixin -> AbstractGuiScreenMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiScreenMixin_v1_8; dup of already-declared AbstractGuiScreenV1_8Mixin (57e98a2b4)
com.moonsworth.lunar.replaymod.mixin	AbstractGuiSliderMixin2	AbstractGuiSliderMixin_v1_8	@Mixin(AbstractGuiSlider); @Inject draw; mixin-renames.tsv:612 v1_8/mixin3/AbstractGuiSliderMixin -> AbstractGuiSliderMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiSliderMixin_v1_8; dup of already-declared AbstractGuiSliderV1_8Mixin (57e98a2b4)
com.moonsworth.lunar.replaymod.mixin	AbstractGuiTimelineMixin2	AbstractGuiTimelineMixin_v1_8	@Mixin(AbstractGuiTimeline); @Inject draw + drawTimelineCursor; @Redirect Utils.drawDynamicRect; mixin-renames.tsv:613 v1_8/mixin3/AbstractGuiTimelineMixin -> AbstractGuiTimelineMixin2; upstream LunarClient/ReplayModMixins v1_8 class AbstractGuiTimelineMixin_v1_8; dup of already-declared AbstractGuiTimelineV1_8Mixin (57e98a2b4)
