src	src_class	ref_fqn	score	margin	strings	members	sample
src/main/java/com/moonsworth/lunar/genesis/Absent.java	Absent	com.google.common.base.Absent	83.00	38.30	1	37	Optional.absent(); Absent; Collections; Function
src/main/java/com/moonsworth/lunar/genesis/AbstractBaseGraph.java	AbstractBaseGraph	com.google.common.graph.AbstractBaseGraph	101.50	29.79	0	39	AbstractBaseGraph; BaseGraph; Node
src/main/java/com/moonsworth/lunar/genesis/AbstractBiMap$Inverse.java	AbstractBiMap$Inverse	com.google.common.collect.AbstractBiMap$Inverse	40.22	12.09	0	16	AbstractBiMap$Inverse; GwtIncompatible; Map
src/main/java/com/moonsworth/lunar/genesis/AbstractByteHasher.java	AbstractByteHasher	com.google.common.hash.AbstractByteHasher	80.36	24.27	0	32	AbstractByteHasher; AbstractHasher; Buffer
src/main/java/com/moonsworth/lunar/genesis/AbstractCache.java	AbstractCache	com.google.common.cache.AbstractCache	65.72	21.71	0	30	AbstractCache; Cache; CacheStats
src/main/java/com/moonsworth/lunar/genesis/AbstractCatchingFuture$AsyncCatchingFuture.java	AbstractCatchingFuture$AsyncCatchingFuture	com.google.common.util.concurrent.AbstractCatchingFuture$AsyncCatchingFuture	46.19	11.74	0	16	AbstractCatchingFuture$AsyncCatchingFuture; AsyncFunction; Class
src/main/java/com/moonsworth/lunar/genesis/AbstractCollectionBase2.java	AbstractCollectionBase2	com.google.common.collect.EnumMultiset	168.94	77.02	2	69	Expected an ; too many occurrences: %s; Arrays; CanIgnoreReturnValue; Class
src/main/java/com/moonsworth/lunar/genesis/AbstractCollectionBase3.java	AbstractCollectionBase3	com.google.common.collect.AbstractMapBasedMultiset	135.46	51.03	2	60	Stream data required; too many occurrences: %s; CanIgnoreReturnValue; Entry; InvalidObjectException
src/main/java/com/moonsworth/lunar/genesis/AbstractCollectionBase4.java	AbstractCollectionBase4	com.google.common.collect.ConcurrentHashMultiset	227.66	133.22	3	93	 occurrences to a count of ; Overflow adding ; ArithmeticException; ArrayList; AssertionError
src/main/java/com/moonsworth/lunar/genesis/AbstractCollectionBase52.java	AbstractCollectionBase52	com.google.common.collect.TreeMultiset	172.34	75.59	0	74	AssertionError; CanIgnoreReturnValue; ClassCastException
