old.package	Old	new.fqn	evidence
com.moonsworth.lunar.genesis	AbstractCache	com.google.common.cache.AbstractCache	tier score 66.1 margin 21.9
com.moonsworth.lunar.genesis	AbstractCache$StatsCounter	com.google.common.cache.AbstractCache$StatsCounter	tier score 31.3 margin 5.0
com.moonsworth.lunar.genesis	AbstractCollectionBase2	com.google.common.collect.EnumMultiset	tier score 169.0 margin 76.3
com.moonsworth.lunar.genesis	AbstractCollectionBase32	com.google.common.collect.HashMultiset	tier score 46.2 margin 8.3
com.moonsworth.lunar.genesis	AbstractCollectionBase4	com.google.common.collect.ConcurrentHashMultiset	tier score 228.7 margin 133.4
com.moonsworth.lunar.genesis	AbstractCollectionBase52	com.google.common.collect.TreeMultiset	tier score 173.9 margin 76.2
com.moonsworth.lunar.genesis	AbstractCollectionIterator	com.google.common.collect.ImmutableCollection	tier score 99.6 margin 38.0
com.moonsworth.lunar.genesis	AbstractCollectionIterator3	com.google.common.collect.ImmutableList	tier score 999.0 margin 999.0
com.moonsworth.lunar.genesis	AbstractCollectionIterator42	com.google.common.collect.ImmutableMultiset	tier score 101.4 margin 30.7
com.moonsworth.lunar.genesis	AbstractCollectionIterator4222	com.google.common.collect.ImmutableSortedMultiset	tier score 98.6 margin 36.0
com.moonsworth.lunar.genesis	AbstractCollectionIterator5	com.google.common.collect.ImmutableSet	tier score 179.3 margin 74.1
com.moonsworth.lunar.genesis	AbstractCollectionIterator562	com.google.common.collect.ImmutableSortedSet	tier score 160.7 margin 53.2
com.moonsworth.lunar.genesis	AbstractCollectionIterator5622	com.google.common.collect.ContiguousSet	tier score 47.9 margin 19.5
com.moonsworth.lunar.genesis	AbstractExecutorServiceBase	com.google.common.util.concurrent.AbstractListeningExecutorService	tier score 37.7 margin 14.3
com.moonsworth.lunar.genesis	AbstractGraph	com.google.common.graph.AbstractGraph	tier score 55.9 margin 8.7
com.moonsworth.lunar.genesis	AbstractInvocationHandler	com.google.common.reflect.AbstractInvocationHandler	tier score 66.0 margin 40.0
com.moonsworth.lunar.genesis	AbstractListeningExecutorService	com.google.common.util.concurrent.AbstractListeningExecutorService	tier score 57.9 margin 27.4
com.moonsworth.lunar.genesis	AbstractLoadingCache	com.google.common.cache.AbstractLoadingCache	tier score 54.2 margin 21.6
com.moonsworth.lunar.genesis	AbstractQueueIterator	com.google.common.collect.MinMaxPriorityQueue	tier score 179.8 margin 69.4
com.moonsworth.lunar.genesis	AbstractScheduledService$CustomScheduler$Schedule	com.google.common.util.concurrent.AbstractScheduledService$CustomScheduler$Schedule	tier score 18.2 margin 8.3
com.moonsworth.lunar.genesis	AbstractScheduledService$Scheduler	com.google.common.util.concurrent.AbstractScheduledService$Scheduler	tier score 72.7 margin 38.7
com.moonsworth.lunar.genesis	AbstractSequentialIterator	com.google.common.collect.AbstractSequentialIterator	tier score 31.6 margin 12.4
com.moonsworth.lunar.genesis	AbstractValueGraph	com.google.common.graph.AbstractValueGraph	tier score 75.7 margin 24.1
com.moonsworth.lunar.genesis	AllowConcurrentEvents	com.google.common.eventbus.AllowConcurrentEvents	tier score 24.2 margin 8.9
com.moonsworth.lunar.genesis	AnnotatedElementIterator	com.google.common.reflect.Parameter	tier score 72.4 margin 42.0
com.moonsworth.lunar.genesis	Annotation	com.google.common.annotations.GwtCompatible	tier score 999.0 margin 999.0
com.moonsworth.lunar.genesis	ArrayBasedCharEscaper	com.google.common.escape.ArrayBasedCharEscaper	tier score 45.4 margin 13.5
