cluster	owner	file	n_lazy
001	Annotation4	com/moonsworth/lunar/annotations/ThreadRequirement.java	4
001	Annotation2	com/moonsworth/lunar/annotations/ThreadRestriction.java	1
001	Annotation	com/moonsworth/lunar/annotations/ThreadRestrictions.java	1
001	AbstractRenderContext	com/moonsworth/lunar/bridge/AbstractRenderContext.java	163
001	AdventureComponentCoercion	com/moonsworth/lunar/bridge/AdventureComponentCoercion.java	12
001	AdventureTextBridge	com/moonsworth/lunar/bridge/AdventureTextBridge.java	90
001	AdventureTextCoercion	com/moonsworth/lunar/bridge/AdventureTextCoercion.java	22
001	AlcBridge	com/moonsworth/lunar/bridge/AlcBridge.java	40
001	AnimationMetadataSectionBridge	com/moonsworth/lunar/bridge/AnimationMetadataSectionBridge.java	3
001	ArmorColorState	com/moonsworth/lunar/bridge/ArmorColorState.java	5
001	ArmorRenderState	com/moonsworth/lunar/bridge/ArmorRenderState.java	5
001	AsyncTextureBridge	com/moonsworth/lunar/bridge/AsyncTextureBridge.java	4
001	AutoCloseableExtension	com/moonsworth/lunar/bridge/AutoCloseableExtension.java	14
001	AutoCloseableImpl	com/moonsworth/lunar/bridge/AutoCloseableImpl.java	8
001	AwtImageBridge	com/moonsworth/lunar/bridge/AwtImageBridge.java	9
001	BatchingBufferSourceBridge	com/moonsworth/lunar/bridge/BatchingBufferSourceBridge.java	6
001	BipedModelBridge	com/moonsworth/lunar/bridge/BipedModelBridge.java	1
001	BlendFunctionBridge	com/moonsworth/lunar/bridge/BlendFunctionBridge.java	17
001	BlockBreakAnimationPacketBridge	com/moonsworth/lunar/bridge/BlockBreakAnimationPacketBridge.java	3
001	BlockStateBridge	com/moonsworth/lunar/bridge/BlockStateBridge.java	3
001	BlocksBridge	com/moonsworth/lunar/bridge/BlocksBridge.java	115
001	BossInfoBridge	com/moonsworth/lunar/bridge/BossInfoBridge.java	16
001	BossInfoPacketBridge	com/moonsworth/lunar/bridge/BossInfoPacketBridge.java	1
001	Bridge	com/moonsworth/lunar/bridge/Bridge.java	171
001	Bridge10$Data	com/moonsworth/lunar/bridge/Bridge10$Data.java	9
002	Bridge10_2	com/moonsworth/lunar/bridge/Bridge10_2.java	206
002	Bridge11Extension	com/moonsworth/lunar/bridge/Bridge11Extension.java	1
002	Bridge11_2	com/moonsworth/lunar/bridge/Bridge11_2.java	1
002	Bridge11_4	com/moonsworth/lunar/bridge/Bridge11_4.java	2
002	Bridge12_4	com/moonsworth/lunar/bridge/Bridge12_4.java	2
002	Bridge13_3	com/moonsworth/lunar/bridge/Bridge13_3.java	1
002	Bridge14_3	com/moonsworth/lunar/bridge/Bridge14_3.java	9
002	Bridge15_2	com/moonsworth/lunar/bridge/Bridge15_2.java	2
002	Bridge17Extension_2	com/moonsworth/lunar/bridge/Bridge17Extension_2.java	1
002	Bridge2$Data	com/moonsworth/lunar/bridge/Bridge2$Data.java	8
002	Bridge2$Extension2	com/moonsworth/lunar/bridge/Bridge2$Extension2.java	5
002	Bridge20Extension	com/moonsworth/lunar/bridge/Bridge20Extension.java	2
002	Bridge2Factory	com/moonsworth/lunar/bridge/Bridge2Factory.java	19
002	Bridge2Handler	com/moonsworth/lunar/bridge/Bridge2Handler.java	64
002	Bridge2Handler2	com/moonsworth/lunar/bridge/Bridge2Handler2.java	4
002	Bridge2Handler2_2	com/moonsworth/lunar/bridge/Bridge2Handler2_2.java	61
002	Bridge2Handler_2	com/moonsworth/lunar/bridge/Bridge2Handler_2.java	85
002	Bridge2_10	com/moonsworth/lunar/bridge/Bridge2_10.java	15
002	Bridge2_11	com/moonsworth/lunar/bridge/Bridge2_11.java	18
002	Bridge2_12	com/moonsworth/lunar/bridge/Bridge2_12.java	6
002	Bridge2_15	com/moonsworth/lunar/bridge/Bridge2_15.java	23
002	Bridge2_17	com/moonsworth/lunar/bridge/Bridge2_17.java	31
002	Bridge2_19	com/moonsworth/lunar/bridge/Bridge2_19.java	1
002	Bridge2_21	com/moonsworth/lunar/bridge/Bridge2_21.java	102
002	Bridge2_22	com/moonsworth/lunar/bridge/Bridge2_22.java	1
003	Bridge2_23	com/moonsworth/lunar/bridge/Bridge2_23.java	4
003	Bridge2_24	com/moonsworth/lunar/bridge/Bridge2_24.java	36
003	Bridge2_25	com/moonsworth/lunar/bridge/Bridge2_25.java	7
003	Bridge2_26	com/moonsworth/lunar/bridge/Bridge2_26.java	10
003	Bridge2_28	com/moonsworth/lunar/bridge/Bridge2_28.java	6
003	Bridge2_29	com/moonsworth/lunar/bridge/Bridge2_29.java	1
003	Bridge2_31	com/moonsworth/lunar/bridge/Bridge2_31.java	2
003	Bridge2_32	com/moonsworth/lunar/bridge/Bridge2_32.java	78
003	Bridge2_34	com/moonsworth/lunar/bridge/Bridge2_34.java	2
003	Bridge2_35	com/moonsworth/lunar/bridge/Bridge2_35.java	17
003	Bridge2_38	com/moonsworth/lunar/bridge/Bridge2_38.java	2
003	Bridge2_39	com/moonsworth/lunar/bridge/Bridge2_39.java	14
003	Bridge2_4	com/moonsworth/lunar/bridge/Bridge2_4.java	4
003	Bridge2_40	com/moonsworth/lunar/bridge/Bridge2_40.java	3
003	Bridge2_41	com/moonsworth/lunar/bridge/Bridge2_41.java	43
003	Bridge2_43	com/moonsworth/lunar/bridge/Bridge2_43.java	29
003	Bridge2_44	com/moonsworth/lunar/bridge/Bridge2_44.java	2
003	Bridge2_45	com/moonsworth/lunar/bridge/Bridge2_45.java	7
003	Bridge2_46	com/moonsworth/lunar/bridge/Bridge2_46.java	34
003	Bridge2_47	com/moonsworth/lunar/bridge/Bridge2_47.java	3
003	Bridge2_5	com/moonsworth/lunar/bridge/Bridge2_5.java	8
003	Bridge2_7	com/moonsworth/lunar/bridge/Bridge2_7.java	2
003	Bridge2_8	com/moonsworth/lunar/bridge/Bridge2_8.java	1
003	Bridge3Extension	com/moonsworth/lunar/bridge/Bridge3Extension.java	3
003	Bridge3Extension2_2	com/moonsworth/lunar/bridge/Bridge3Extension2_2.java	2
004	Bridge3Extension_3	com/moonsworth/lunar/bridge/Bridge3Extension_3.java	1
004	Bridge3Extension_5	com/moonsworth/lunar/bridge/Bridge3Extension_5.java	1
004	Bridge3Extension_7	com/moonsworth/lunar/bridge/Bridge3Extension_7.java	4
004	Bridge3_11	com/moonsworth/lunar/bridge/Bridge3_11.java	23
004	Bridge3_13	com/moonsworth/lunar/bridge/Bridge3_13.java	2
004	Bridge3_17	com/moonsworth/lunar/bridge/Bridge3_17.java	8
004	Bridge3_19	com/moonsworth/lunar/bridge/Bridge3_19.java	6
004	Bridge3_21	com/moonsworth/lunar/bridge/Bridge3_21.java	4
004	Bridge3_23	com/moonsworth/lunar/bridge/Bridge3_23.java	25
004	Bridge3_24	com/moonsworth/lunar/bridge/Bridge3_24.java	45
004	Bridge3_27	com/moonsworth/lunar/bridge/Bridge3_27.java	14
004	Bridge3_28	com/moonsworth/lunar/bridge/Bridge3_28.java	3
004	Bridge3_30	com/moonsworth/lunar/bridge/Bridge3_30.java	1
004	Bridge3_31	com/moonsworth/lunar/bridge/Bridge3_31.java	9
004	Bridge3_32	com/moonsworth/lunar/bridge/Bridge3_32.java	2
004	Bridge3_34	com/moonsworth/lunar/bridge/Bridge3_34.java	16
004	Bridge3_35	com/moonsworth/lunar/bridge/Bridge3_35.java	32
004	Bridge3_4	com/moonsworth/lunar/bridge/Bridge3_4.java	4
004	Bridge3_5	com/moonsworth/lunar/bridge/Bridge3_5.java	4
004	Bridge3_6	com/moonsworth/lunar/bridge/Bridge3_6.java	2
004	Bridge3_7	com/moonsworth/lunar/bridge/Bridge3_7.java	3
004	Bridge4$Data	com/moonsworth/lunar/bridge/Bridge4$Data.java	7
004	Bridge4Extension	com/moonsworth/lunar/bridge/Bridge4Extension.java	2
004	Bridge4_10	com/moonsworth/lunar/bridge/Bridge4_10.java	2
004	Bridge4_11	com/moonsworth/lunar/bridge/Bridge4_11.java	34
005	Bridge4_12	com/moonsworth/lunar/bridge/Bridge4_12.java	1
005	Bridge4_14	com/moonsworth/lunar/bridge/Bridge4_14.java	8
005	Bridge4_16	com/moonsworth/lunar/bridge/Bridge4_16.java	1
005	Bridge4_17	com/moonsworth/lunar/bridge/Bridge4_17.java	3
005	Bridge4_18	com/moonsworth/lunar/bridge/Bridge4_18.java	14
005	Bridge4_2	com/moonsworth/lunar/bridge/Bridge4_2.java	46
005	Bridge4_21	com/moonsworth/lunar/bridge/Bridge4_21.java	17
005	Bridge4_24	com/moonsworth/lunar/bridge/Bridge4_24.java	7
005	Bridge4_4	com/moonsworth/lunar/bridge/Bridge4_4.java	4
005	Bridge4_5	com/moonsworth/lunar/bridge/Bridge4_5.java	2
005	Bridge4_6	com/moonsworth/lunar/bridge/Bridge4_6.java	33
005	Bridge4_8	com/moonsworth/lunar/bridge/Bridge4_8.java	3
005	Bridge4_9	com/moonsworth/lunar/bridge/Bridge4_9.java	10
005	Bridge5$Data	com/moonsworth/lunar/bridge/Bridge5$Data.java	11
005	Bridge5Extension10	com/moonsworth/lunar/bridge/Bridge5Extension10.java	1
005	Bridge5Extension2_3	com/moonsworth/lunar/bridge/Bridge5Extension2_3.java	1
005	Bridge5Extension3_2	com/moonsworth/lunar/bridge/Bridge5Extension3_2.java	2
005	Bridge5Extension4	com/moonsworth/lunar/bridge/Bridge5Extension4.java	11
005	Bridge5Extension5	com/moonsworth/lunar/bridge/Bridge5Extension5.java	1
005	Bridge5Extension6	com/moonsworth/lunar/bridge/Bridge5Extension6.java	37
005	Bridge5Extension610	com/moonsworth/lunar/bridge/Bridge5Extension610.java	1
005	Bridge5Extension611	com/moonsworth/lunar/bridge/Bridge5Extension611.java	1
005	Bridge5Extension612	com/moonsworth/lunar/bridge/Bridge5Extension612.java	1
005	Bridge5Extension62	com/moonsworth/lunar/bridge/Bridge5Extension62.java	1
005	Bridge5Extension63	com/moonsworth/lunar/bridge/Bridge5Extension63.java	1
006	Bridge5Extension64	com/moonsworth/lunar/bridge/Bridge5Extension64.java	1
006	Bridge5Extension65	com/moonsworth/lunar/bridge/Bridge5Extension65.java	1
006	Bridge5Extension66	com/moonsworth/lunar/bridge/Bridge5Extension66.java	2
006	Bridge5Extension662	com/moonsworth/lunar/bridge/Bridge5Extension662.java	1
006	Bridge5Extension67	com/moonsworth/lunar/bridge/Bridge5Extension67.java	1
006	Bridge5Extension68	com/moonsworth/lunar/bridge/Bridge5Extension68.java	1
006	Bridge5Extension7	com/moonsworth/lunar/bridge/Bridge5Extension7.java	1
006	Bridge5Extension8	com/moonsworth/lunar/bridge/Bridge5Extension8.java	2
006	Bridge5Extension9	com/moonsworth/lunar/bridge/Bridge5Extension9.java	7
006	Bridge5Extension_2	com/moonsworth/lunar/bridge/Bridge5Extension_2.java	1
006	Bridge5Extension_3	com/moonsworth/lunar/bridge/Bridge5Extension_3.java	14
006	Bridge5Extension_5	com/moonsworth/lunar/bridge/Bridge5Extension_5.java	34
006	Bridge5_10	com/moonsworth/lunar/bridge/Bridge5_10.java	15
006	Bridge5_11	com/moonsworth/lunar/bridge/Bridge5_11.java	7
006	Bridge5_12	com/moonsworth/lunar/bridge/Bridge5_12.java	42
006	Bridge5_13	com/moonsworth/lunar/bridge/Bridge5_13.java	17
006	Bridge5_14	com/moonsworth/lunar/bridge/Bridge5_14.java	3
006	Bridge5_15	com/moonsworth/lunar/bridge/Bridge5_15.java	1
006	Bridge5_16	com/moonsworth/lunar/bridge/Bridge5_16.java	17
006	Bridge5_19	com/moonsworth/lunar/bridge/Bridge5_19.java	30
006	Bridge5_2	com/moonsworth/lunar/bridge/Bridge5_2.java	2
006	Bridge5_3	com/moonsworth/lunar/bridge/Bridge5_3.java	43
006	Bridge5_4	com/moonsworth/lunar/bridge/Bridge5_4.java	4
006	Bridge5_5	com/moonsworth/lunar/bridge/Bridge5_5.java	20
006	Bridge5_7	com/moonsworth/lunar/bridge/Bridge5_7.java	6
007	Bridge6Extension	com/moonsworth/lunar/bridge/Bridge6Extension.java	1
007	Bridge6Extension2	com/moonsworth/lunar/bridge/Bridge6Extension2.java	1
007	Bridge6Extension3	com/moonsworth/lunar/bridge/Bridge6Extension3.java	5
007	Bridge6_10	com/moonsworth/lunar/bridge/Bridge6_10.java	10
007	Bridge6_2	com/moonsworth/lunar/bridge/Bridge6_2.java	6
007	Bridge6_3	com/moonsworth/lunar/bridge/Bridge6_3.java	1
007	Bridge6_4	com/moonsworth/lunar/bridge/Bridge6_4.java	6
007	Bridge6_5	com/moonsworth/lunar/bridge/Bridge6_5.java	1
007	Bridge6_6	com/moonsworth/lunar/bridge/Bridge6_6.java	13
007	Bridge6_7	com/moonsworth/lunar/bridge/Bridge6_7.java	5
007	Bridge6_8	com/moonsworth/lunar/bridge/Bridge6_8.java	3
007	Bridge6_9	com/moonsworth/lunar/bridge/Bridge6_9.java	39
007	Bridge7_10	com/moonsworth/lunar/bridge/Bridge7_10.java	2
007	Bridge7_2	com/moonsworth/lunar/bridge/Bridge7_2.java	7
007	Bridge7_3	com/moonsworth/lunar/bridge/Bridge7_3.java	5
007	Bridge7_6	com/moonsworth/lunar/bridge/Bridge7_6.java	1
007	Bridge7_8	com/moonsworth/lunar/bridge/Bridge7_8.java	13
007	Bridge7_9	com/moonsworth/lunar/bridge/Bridge7_9.java	8
007	Bridge8Extension3	com/moonsworth/lunar/bridge/Bridge8Extension3.java	19
007	Bridge8Extension32	com/moonsworth/lunar/bridge/Bridge8Extension32.java	1
007	Bridge8Extension33	com/moonsworth/lunar/bridge/Bridge8Extension33.java	1
007	Bridge8Extension34	com/moonsworth/lunar/bridge/Bridge8Extension34.java	2
007	Bridge8Handler	com/moonsworth/lunar/bridge/Bridge8Handler.java	2
007	Bridge8Handler2	com/moonsworth/lunar/bridge/Bridge8Handler2.java	17
007	Bridge8_2	com/moonsworth/lunar/bridge/Bridge8_2.java	84
008	Bridge8_5	com/moonsworth/lunar/bridge/Bridge8_5.java	3
008	Bridge9_2	com/moonsworth/lunar/bridge/Bridge9_2.java	1
008	BridgeExtension	com/moonsworth/lunar/bridge/BridgeExtension.java	97
