# owner.fqn	M|F	old	new	evidence
com.moonsworth.lunar.client.Autotexthotkey	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.AccountBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.AlertBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.BadgeBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.ColorBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.CosmeticPreviewBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.HostedWorldBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.LanguagePageBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.LunarPlusBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.MarkersBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.OutfitBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.PromotionBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.SavedSkinBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.SettingsBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.SkyblockBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.SocialMediaBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.StyngrBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.UiStateBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.nameplate.FriendApi	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.core.gui.mixin.nameplate.FriendsGuiExtension	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
com.moonsworth.lunar.client.driver.gui.ModsBridge	M	method15	getProvider	must-implement alignment: GuiIterator.Extension.getProvider renamed from method15
