owner	kind	name	signature	file
ASMClassLoaderMixin	F	var5	Optional	com/moonsworth/lunar/forge/mixin/ASMClassLoaderMixin.java
ASMClassLoaderMixin	P	var1	String	com/moonsworth/lunar/forge/mixin/ASMClassLoaderMixin.java
ASMClassLoaderMixin	P	var2	byte[]	com/moonsworth/lunar/forge/mixin/ASMClassLoaderMixin.java
ASMClassLoaderMixin2	F	var5	Optional	com/moonsworth/lunar/forge/mixin/ASMClassLoaderMixin2.java
ASMClassLoaderMixin2	P	var1	String	com/moonsworth/lunar/forge/mixin/ASMClassLoaderMixin2.java
ASMClassLoaderMixin2	P	var2	byte[]	com/moonsworth/lunar/forge/mixin/ASMClassLoaderMixin2.java
AbstractBooleanOption	F	field7	boolean	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractBooleanOption	M	method2	void	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractBooleanOption	M	method6	void	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractBooleanOption	M	method7	boolean	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractBooleanOption	M	method8	Boolean	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractBooleanOption	P	var1	Boolean	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractBooleanOption	P	var1	Boolean	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractBooleanOption	P	var1	boolean	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractBooleanOption	P	var1	boolean	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractBooleanOption	P	var2	var1,	com/moonsworth/lunar/client/config/option/AbstractBooleanOption.java
AbstractByteOption	F	field7	byte	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractByteOption	M	method2	void	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractByteOption	M	method6	void	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractByteOption	M	method7	byte	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractByteOption	M	method8	Byte	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractByteOption	P	var1	Byte	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractByteOption	P	var1	Byte	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractByteOption	P	var1	byte	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractByteOption	P	var1	byte	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractByteOption	P	var2	var1,	com/moonsworth/lunar/client/config/option/AbstractByteOption.java
AbstractClientPlayerFovMixin	F	var1		com/moonsworth/lunar/legacy/mixin/AbstractClientPlayerFovMixin.java
AbstractClientPlayerFovMixin	F	var1	NetworkPlayerInfo	com/moonsworth/lunar/legacy/mixin/AbstractClientPlayerFovMixin.java
AbstractClientPlayerFovMixin	F	var2	FovRenderEvent	com/moonsworth/lunar/legacy/mixin/AbstractClientPlayerFovMixin.java
AbstractClientPlayerFovMixin	P	var1	CallbackInfo	com/moonsworth/lunar/legacy/mixin/AbstractClientPlayerFovMixin.java
AbstractClientPlayerFovMixin	P	var1	CallbackInfoReturnable<Float>	com/moonsworth/lunar/legacy/mixin/AbstractClientPlayerFovMixin.java
AbstractClientPlayerMixin	F	var1		com/moonsworth/lunar/legacy/mixin/AbstractClientPlayerMixin.java
AbstractClientPlayerMixin	F	var1	Map	com/moonsworth/lunar/legacy/mixin/AbstractClientPlayerMixin.java
