# owner.fqn	M|F	oldName	newName	evidence
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.Rewindhandlers2_4	M	method15	getProvider	implements GuiIterator.Extension.getProvider() [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method20	unselectLayer	(overload 0-arg) @CallbackJS("unselectLayer"); the Data2[] overload is moveKeyframes [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.chest.Chest2	M	method21	unselectKeyframe	(overload 0-arg) @CallbackJS("unselectKeyframe"); the boolean overload is linkLayers [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.colorsaturation.Colorsaturation2	M	method15	getProvider	implements GuiIterator.Extension.getProvider() [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field1	selectedLayer	JSON "selectedLayer"; setter method1 clears the multi-selection [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field10	zoom	replay zoom, default 20.0F; getZoom() already named [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field11	dragging	JSON "dragging": playhead is dragged in the web UI [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field12	scrubFrame	JSON "playhead": manual drag frame (-1 = use the timeline playhead) [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field2	additionalSelectedLayers	JSON "additionalSelectedLayers"; multi-selected layers [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field3	linkSelectionEnabled	gates the "links" JSON and collectLinkedLayers; set to !shift by selectLayer [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field4	multiSelectEnabled	alt multi-select switch read by selectLayer (shift OR flag toggles the layer set) [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field5	copiedLayer	layer staged by the duplicate action (Rewind4.method9), inserted by Rewind4.method10 [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field6	copiedRange	frame Range of the staged layer (Rewind4: Range.between(playhead, playhead+len)) [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field7	copiedTrack	track that receives the copied layer [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field8	selectedKeyframe	the SelectedKeyframe (property+frame) under edit [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.coordinates.Coordinates	F	field9	additionalSelectedKeyframes	extra SelectedKeyframe entries of a batch selection [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.highlight.Highlight2_2	M	method15	getProvider	implements GuiIterator.Extension.getProvider() [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.highlight.Highlight2_2	M	method7	newFolder	(overload UUID) @CallbackJS("newFolder"); the (UUID,String) overload is rename [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method16	setRuleOfThirdsOverlay	@CallbackJS("setRuleOfThirdsOverlay") [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method17	setQuartersOverlay	@CallbackJS("setQuartersOverlay") [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method19	setInputFocused	@CallbackJS("setInputFocused") [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method4	updatePreviewWindow	(overload) @CallbackJS("updatePreviewWindow"); the double/double overload is DriverGuiExtension.method4 [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.holograms.Holograms2	M	method6	pause	@CallbackJS("pause") [leftover after wave 1]
com.moonsworth.lunar.client.framework.feature.rewind.rewindhandlers.nameplate.Nameplate2_2	M	method15	getProvider	implements GuiIterator.Extension.getProvider() [leftover after wave 1]
com.moonsworth.lunar.client.replay.rewindhandlers.ExportSettingsJsApi	M	method15	getProvider	implements GuiIterator.Extension.getProvider() [leftover after wave 1]
com.moonsworth.lunar.client.replay.rewindhandlers.chest.RewindTimelineBridge	M	method20	unselectLayer	(overload 0-arg) @CallbackJS("unselectLayer"); the KeyframeMove[] overload is moveKeyframes [leftover after wave 1]
com.moonsworth.lunar.client.replay.rewindhandlers.chest.RewindTimelineBridge	M	method21	unselectKeyframe	(overload 0-arg) @CallbackJS("unselectKeyframe"); the boolean overload is linkLayers [leftover after wave 1]
com.moonsworth.lunar.client.replay.rewindhandlers.click.RewindTimelinesListBridge	M	HORHROIOIOICIRHIOCOICHHHIHCIIO	setSelectedLayer	stale obf token pair in selectTimeline; javap descriptors prove setSelectedLayer(null) then setSelectedKeyframe(null); second call needs manual repair
com.moonsworth.lunar.client.replay.rewindhandlers.click.RewindTimelinesListBridge	M	method2	selectTimeline	@CallbackJS("selectTimeline"): switch the active timeline [leftover after wave 1]
com.moonsworth.lunar.client.replay.rewindhandlers.colorsaturation.RewindPropertiesBridge	M	method15	getProvider	implements GuiIterator.Extension.getProvider() [leftover after wave 1]
com.moonsworth.lunar.client.replay.rewindhandlers.colorsaturation.RewindPropertiesBridge	M	method20	endPropertyUpdate	(overload 0-arg) @CallbackJS("endPropertyUpdate"); the UUID overload is Coordinates.getLayerRange [leftover after wave 1]
com.moonsworth.lunar.client.replay.rewindhandlers.colorsaturation.RewindPropertiesBridge	M	method3	setPropertyExtended	(overload) @CallbackJS("setPropertyExtended"); the (layer,path,opt,flag) overload is Coordinates.findProperty [leftover after wave 1]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field1	selectedLayer	JSON "selectedLayer"; setter method1 clears the multi-selection [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field10	zoom	replay zoom, default 20.0F; getZoom() already named [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field11	dragging	JSON "dragging": playhead is dragged in the web UI [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field12	scrubFrame	JSON "playhead": manual drag frame (-1 = use the timeline playhead) [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field2	additionalSelectedLayers	JSON "additionalSelectedLayers"; multi-selected layers [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field3	linkSelectionEnabled	gates the "links" JSON and collectLinkedLayers; set to !shift by selectLayer [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field4	multiSelectEnabled	alt multi-select switch read by selectLayer (shift OR flag toggles the layer set) [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field5	copiedLayer	layer staged by the duplicate action (Rewind4.method9), inserted by Rewind4.method10 [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field6	copiedRange	frame Range of the staged layer (Rewind4: Range.between(playhead, playhead+len)) [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field7	copiedTrack	track that receives the copied layer [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field8	selectedKeyframe	the SelectedKeyframe (property+frame) under edit [Coordinates/RewindEditorContext identical layout]
com.moonsworth.lunar.client.replay.rewindhandlers.coordinates.RewindEditorContext	F	field9	additionalSelectedKeyframes	extra SelectedKeyframe entries of a batch selection [Coordinates/RewindEditorContext identical layout]
