src	src_class	ref_fqn	score	margin	strings	members	sample
src/main/java/com/moonsworth/lunar/AbstractMapLoader.java	AbstractMapLoader	com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap	212.08	90.92	1	85	Proxy required; AbstractMap; AtomicLong; AtomicLongArray
src/main/java/com/moonsworth/lunar/Annotation27.java	Annotation27	com.fasterxml.jackson.annotation.JsonProperty	32.44	9.73	0	19	ANNOTATION_TYPE; AUTO; ElementType
src/main/java/com/moonsworth/lunar/Annotation32.java	Annotation32	com.fasterxml.jackson.annotation.JsonFormat$Value	74.37	20.80	0	36	ANY; Boolean; Class
src/main/java/com/moonsworth/lunar/Annotation_2.java	Annotation_2	com.fasterxml.jackson.databind.jsonschema.JsonSerializableSchema	22.62	8.24	0	14	Deprecated; ElementType; RUNTIME
src/main/java/com/moonsworth/lunar/DateFormatLoader.java	DateFormatLoader	com.fasterxml.jackson.databind.util.ISO8601DateFormat	46.57	12.11	0	20	Date; DateFormat; DecimalFormat
src/main/java/com/moonsworth/lunar/DateFormatLoader2.java	DateFormatLoader2	com.fasterxml.jackson.databind.util.StdDateFormat	317.62	219.64	5	104	EEE, dd MMM yyyy HH:mm:ss zzz; \d\d\d\d[-]\d\d[-]\d\d; Boolean; Calendar; Cannot
src/main/java/com/moonsworth/lunar/ExternalizableLoader.java	ExternalizableLoader	com.fasterxml.jackson.databind.node.NodeSerialization	59.71	26.00	1	26	Failed to JDK serialize `; Externalizable; Failed; IOException
src/main/java/com/moonsworth/lunar/IOException22$Data.java	IOException22$Data	com.fasterxml.jackson.databind.JsonMappingException$Reference	59.74	38.71	1	25	Cannot pass null fieldName; Cannot; Class; NullPointerException
src/main/java/com/moonsworth/lunar/IOException222_3.java	IOException222_3	org.openapitools.jackson.nullable.JsonNullableDeserializer	17.64	9.65	0	7	Class; MixinHelper53; MixinHelperType2_2
src/main/java/com/moonsworth/lunar/IOException223.java	IOException223	org.openapitools.jackson.nullable.JsonNullableDeserializer	16.95	5.32	0	7	Class; MixinHelper26; MixinHelper53
src/main/java/com/moonsworth/lunar/IOException2232.java	IOException2232	com.fasterxml.jackson.databind.exc.PropertyBindingException	44.87	21.07	1	25	 (one known property: "; Class; Collection; Collections
src/main/java/com/moonsworth/lunar/IOException22322.java	IOException22322	com.fasterxml.jackson.databind.exc.UnrecognizedPropertyException	26.00	8.15	0	16	Class; Collection; Deprecated
src/main/java/com/moonsworth/lunar/IOException22323.java	IOException22323	com.fasterxml.jackson.databind.exc.IgnoredPropertyException	27.88	9.91	0	17	Class; Collection; Deprecated
src/main/java/com/moonsworth/lunar/IOException2233.java	IOException2233	org.openapitools.jackson.nullable.JsonNullableDeserializer	16.05	5.32	0	6	MixinHelper26; MixinHelper53; String
src/main/java/com/moonsworth/lunar/IOException2234.java	IOException2234	org.openapitools.jackson.nullable.JsonNullableDeserializer	13.19	3.46	0	7	Class; MixinHelper53; Object
src/main/java/com/moonsworth/lunar/IOException22_3.java	IOException22_3	com.fasterxml.jackson.databind.JsonMappingException	70.71	39.65	1	36	 (through reference chain: ; Closeable; Collections; Deprecated
src/main/java/com/moonsworth/lunar/IOException22_4.java	IOException22_4	org.openapitools.jackson.nullable.JsonNullableDeserializer	11.92	3.07	0	5	MixinHelper53; String; com
src/main/java/com/moonsworth/lunar/IOException22_6.java	IOException22_6	org.openapitools.jackson.nullable.JsonNullableDeserializer	16.75	9.65	0	6	MixinHelper53; MixinHelperType2_2; String
src/main/java/com/moonsworth/lunar/MixinHelper$Data7.java	MixinHelper$Data7	com.fasterxml.jackson.databind.deser.std.DateDeserializers$DateBasedDeserializer	97.58	48.31	1	36	expected format "%s"; Boolean; Class; Date
src/main/java/com/moonsworth/lunar/MixinHelper$Data8.java	MixinHelper$Data8	com.fasterxml.jackson.databind.deser.std.DateDeserializers$CalendarDeserializer	49.44	14.74	0	24	Calendar; Class; Constructor
src/main/java/com/moonsworth/lunar/MixinHelper1012.java	MixinHelper1012	org.openapitools.jackson.nullable.JsonNullableDeserializer	12.67	3.28	0	7	MixinHelper73_3; Object; String
src/main/java/com/moonsworth/lunar/MixinHelper1022.java	MixinHelper1022	org.openapitools.jackson.nullable.JsonNullableDeserializer	23.22	10.34	0	8	MixinHelper102_4; MixinHelper53; MixinHelper73_3
src/main/java/com/moonsworth/lunar/MixinHelper102_3.java	MixinHelper102_3	com.fasterxml.jackson.databind.deser.AbstractDeserializer	150.67	43.75	1	59	Could not resolve Object Id [; Boolean; Class; Could
src/main/java/com/moonsworth/lunar/MixinHelper102_4.java	MixinHelper102_4	com.fasterxml.jackson.databind.JsonDeserializer	119.55	40.55	1	44	 does not support them; Boolean; CONSTANT; Cannot
src/main/java/com/moonsworth/lunar/MixinHelper104.java	MixinHelper104	org.openapitools.jackson.nullable.JsonNullableDeserializer	12.29	3.28	0	6	MixinHelper73_3; String; com
src/main/java/com/moonsworth/lunar/MixinHelper106.java	MixinHelper106	com.typesafe.config.impl.SimpleConfig	18.81	6.52	0	10	DateTimeException; Integer; Number
src/main/java/com/moonsworth/lunar/MixinHelper10_6.java	MixinHelper10_6	com.fasterxml.jackson.databind.ext.SqlBlobSerializer	39.63	22.57	0	15	Blob; Failed; INTEGER
src/main/java/com/moonsworth/lunar/MixinHelper10_8.java	MixinHelper10_8	com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler	78.13	39.81	0	39	FAIL_ON_MISSING_EXTERNAL_TYPE_ID_PROPERTY; Integer; Iterator
src/main/java/com/moonsworth/lunar/MixinHelper10_9.java	MixinHelper10_9	com.fasterxml.jackson.databind.ser.BeanSerializerModifier	50.68	16.19	0	14	List; changeProperties; java
src/main/java/com/moonsworth/lunar/MixinHelper11.java	MixinHelper11	com.fasterxml.jackson.databind.deser.std.MapEntryDeserializer	124.15	74.09	1	47	Cannot update Map.Entry values; AbstractMap; Cannot; END_OBJECT
src/main/java/com/moonsworth/lunar/MixinHelper11_3.java	MixinHelper11_3	com.fasterxml.jackson.databind.deser.impl.CreatorCollector	186.94	140.60	9	45	array-delegate; explicitly marked; Class; Duplicate; HashMap
