src	old	fqn	score	cov	shared	sample
src/main/java/com/moonsworth/lunar/DateFormatLoader2.java	DateFormatLoader2	com.fasterxml.jackson.databind.util.StdDateFormat	43.05	0.31	5	EEE, dd MMM yyyy HH:mm:ss zzz; \d\d\d\d[-]\d\d[-]\d\d; yyyy-MM-dd
src/main/java/com/moonsworth/lunar/MixinHelper10_2.java	MixinHelper10_2	com.fasterxml.jackson.databind.util.ISO8601Utils	66.70	0.73	8	 given, resolves to ; %04d-%02d-%02dT%02d:%02d:%02d; %c%02d:%02d
src/main/java/com/moonsworth/lunar/MixinHelper11_3.java	MixinHelper11_3	com.fasterxml.jackson.databind.deser.impl.CreatorCollector	79.98	0.47	9	array-delegate; explicitly marked; from-String
src/main/java/com/moonsworth/lunar/MixinHelper13223.java	MixinHelper13223	com.fasterxml.jackson.databind.introspect.AnnotatedConstructor	17.77	0.20	2	 args from Class '; Null constructor not allowed
src/main/java/com/moonsworth/lunar/MixinHelper1323.java	MixinHelper1323	com.fasterxml.jackson.databind.introspect.AnnotatedField	34.16	0.40	4	' from Class '; Could not find method '; Failed to getValue() for field 
src/main/java/com/moonsworth/lunar/MixinHelper1324.java	MixinHelper1324	com.fasterxml.jackson.databind.introspect.VirtualAnnotatedMember	17.77	0.40	2	Cannot get virtual property '; Cannot set virtual property '
src/main/java/com/moonsworth/lunar/MixinHelper13_8.java	MixinHelper13_8	com.fasterxml.jackson.databind.deser.impl.ManagedReferenceProperty	17.77	0.40	2	) when resolving reference '; Unsupported container type (
src/main/java/com/moonsworth/lunar/MixinHelper14.java	MixinHelper14	com.fasterxml.jackson.databind.util.ClassUtil	112.31	0.33	13	 (from class ;  is not a primitive type; , problem: 
src/main/java/com/moonsworth/lunar/MixinHelper15_7.java	MixinHelper15_7	com.fasterxml.jackson.databind.util.BeanUtil	68.32	0.57	8	Java 8 date/time; Joda date/time; groovy.lang
src/main/java/com/moonsworth/lunar/MixinHelper16_2.java	MixinHelper16_2	com.fasterxml.jackson.databind.deser.BeanDeserializer	17.77	0.15	2	Attempted to unwrap '%s' value; JSON Creator returned null
src/main/java/com/moonsworth/lunar/MixinHelper17_6.java	MixinHelper17_6	com.fasterxml.jackson.databind.deser.BeanDeserializerBase	40.97	0.13	5	#temporary-name; Could not resolve Object Id [; Invalid delegate-creator definition for %s: value instantiator (%s) returned true for 'canCreateUsingArrayDelegate()', but null for 'getArrayDelegateType()'
src/main/java/com/moonsworth/lunar/MixinHelper19_3.java	MixinHelper19_3	com.fasterxml.jackson.core.util.VersionUtil	34.85	0.33	4	.PackageVersion; /pom.properties; Failed to get Versioned out of 
src/main/java/com/moonsworth/lunar/MixinHelper2022.java	MixinHelper2022	com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder	44.43	0.19	5	'; ctors: ; , but also implicit accessor: ; , field(s): 
src/main/java/com/moonsworth/lunar/MixinHelper21.java	MixinHelper21	com.fasterxml.jackson.databind.deser.std.StdDeserializer	111.25	0.27	13	Attempted to unwrap '%s' value from an array (with `DeserializationFeature.UNWRAP_SINGLE_VALUE_ARRAYS`) but it contains more than one value; Floating-point value (; Integer value (
src/main/java/com/moonsworth/lunar/MixinHelper21_4.java	MixinHelper21_4	com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector	17.77	0.08	2	AnnotationIntrospector returned PropertyNamingStrategy definition of type %s; expected type `PropertyNamingStrategy` or `Class<PropertyNamingStrategy>` instead; Problem with definition of 
src/main/java/com/moonsworth/lunar/MixinHelper22423.java	MixinHelper22423	com.fasterxml.jackson.databind.jsontype.impl.ClassNameIdResolver	25.97	0.38	3	class name used as type id; java.util.; no such class found
src/main/java/com/moonsworth/lunar/MixinHelper24.java	MixinHelper24	com.fasterxml.jackson.databind.introspect.ObjectIdInfo	26.66	0.33	3	, alwaysAsId=; , generatorType=; ObjectIdInfo: propName=
src/main/java/com/moonsworth/lunar/MixinHelper27.java	MixinHelper27	com.fasterxml.jackson.databind.ObjectMapper	68.20	0.10	8	 (version: ;  for format ; Cannot use includeAs of 
src/main/java/com/moonsworth/lunar/MixinHelper2_11.java	MixinHelper2_11	com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer	35.55	0.24	4	 entries, hash area of ;  slots -- suspect a DoS attack based on hash collisions. You can disable the check via `JsonFactory.Feature.FAIL_ON_SYMBOL_HASH_OVERFLOW`;  slots is now full (all 
src/main/java/com/moonsworth/lunar/MixinHelper2_18.java	MixinHelper2_18	com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper	34.85	0.36	4	) detected; Internal error; Unexpected byte 0x
src/main/java/com/moonsworth/lunar/MixinHelper2_25.java	MixinHelper2_25	com.fasterxml.jackson.databind.jsontype.impl.SubTypeValidator	71.09	0.07	8	com.mchange.v2.c3p0.; com.sun.rowset.JdbcRowSetImpl; com.zaxxer.hikari.HikariConfig
src/main/java/com/moonsworth/lunar/MixinHelper2_6.java	MixinHelper2_6	com.fasterxml.jackson.core.io.BigIntegerParser	16.68	0.29	2	 [truncated]; , reason: 
src/main/java/com/moonsworth/lunar/MixinHelper304.java	MixinHelper304	com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector	17.77	0.04	2	Annotated type [; ] got repeated subtype name [
src/main/java/com/moonsworth/lunar/MixinHelper312.java	MixinHelper312	com.fasterxml.jackson.databind.module.SimpleModule	97.06	0.52	11	Cannot pass `null` as %s; SimpleModule-; abstract type to map
src/main/java/com/moonsworth/lunar/MixinHelper3223.java	MixinHelper3223	com.fasterxml.jackson.databind.node.ArrayNode	17.77	0.18	2	, array size ; Illegal index 
src/main/java/com/moonsworth/lunar/MixinHelper32_5.java	MixinHelper32_5	com.fasterxml.jackson.databind.deser.std.StdValueInstantiator	35.55	0.50	4	 value failed: ; Instantiation of ; No delegate constructor for 
src/main/java/com/moonsworth/lunar/MixinHelper32_7.java	MixinHelper32_7	com.fasterxml.jackson.databind.jsontype.impl.TypeDeserializerBase	35.55	0.29	4	%s (for POJO property '%s'); ; base-type:; ; id-resolver: 
src/main/java/com/moonsworth/lunar/MixinHelper3_11.java	MixinHelper3_11	com.fasterxml.jackson.databind.module.SimpleAbstractTypeResolver	17.77	0.29	2	 since it is not abstract; Cannot add mapping from class 
src/main/java/com/moonsworth/lunar/MixinHelper3_13.java	MixinHelper3_13	com.fasterxml.jackson.databind.ser.PropertyBuilder	35.55	0.27	4	 has no content; ' of default ; Failed to get property '
src/main/java/com/moonsworth/lunar/MixinHelper3_19.java	MixinHelper3_19	com.fasterxml.jackson.core.Base64Variants	26.66	0.60	3	MIME-NO-LINEFEEDS; MODIFIED-FOR-URL; No Base64Variant with name 
